title,url,source_date,incident_type,date,location,victim_identity,description,severity,perpetrator_info,latitude,longitude,year_found,found_at,search_query
Perth Grindr attack - victim tasered and teeth knocked out,https://www.fusemagazine.com.au/lgbtiq-news/australia/1148-five-teenagers-jailed-for-grindr-assault-scheme.html,2024-12-01T00:00:00Z,assault,2024-11-15,"Perth, Western Australia",gay,"Victim was lured to secluded location via fake Grindr profile, then tasered and had his teeth knocked out. Attackers used weapons including knives, machete, metal bar, and pepper spray.",high,"Five teenagers, armed with knives, machete, metal bar, pepper spray, and taser",-31.9505,115.8605,,,
Perth Grindr scheme - multiple victims robbed and assaulted,https://www.abc.net.au/news/2025-09-23/teenagers-detention-grindr-attacks-men-perth/105807670,2024-12-15T00:00:00Z,assault,2024-12-01,"Perth, Western Australia",gay,Series of violent homophobic attacks in Perth where teenagers used fake Grindr profiles to lure gay men to secluded areas. Victims were robbed and violently assaulted.,high,Group of teenagers under 17,-31.9505,115.8605,,,
Sydney Grindr robbery - victim 1 threatened and robbed,https://www.theguardian.com/australia-news/2025/may/21/sydney-men-jailed-gay-dating-app-grindr-robberies-ntwnfb,2023-06-01T00:00:00Z,assault,2023-06-01,"Sydney, NSW",gay,"Victim met attackers through Grindr, was threatened and forced to hand over phone and bank details. Money was subsequently stolen from his account.",medium,Andrew James Tanswell and George Phoenix Leilua,-33.8688,151.2093,,,
Melbourne man attacked by TikTok-inspired assailant via Grindr,https://www.theguardian.com/australia-news/2025/jun/03/christian-keryakus-grindr-attacks-tiktok-vigilante-videos-ntwnfb,2024-08-01T00:00:00Z,assault,2024-08-01,"Melbourne, Victoria",gay,First victim attacked by 19-year-old Christian Keryakus who admitted to being inspired by vigilante videos on TikTok. Met victim through Grindr.,high,"Christian Keryakus, 19, inspired by TikTok vigilante videos",-37.8136,144.9631,,,
Victoria Grindr attacks - 30+ arrested for targeting gay men,https://www.abc.net.au/news/2025-05-09/dating-app-lgbtqi-scammers-crime/105270744,2025-05-09T00:00:00Z,assault,2025-01-01,"Melbourne, Victoria",gay,"Victoria Police arrested over 30 individuals, primarily male teenagers aged 13-20, for attacks on men lured via Grindr. Victims were assaulted, robbed, and subjected to homophobic slurs. Some attacks were filmed and shared on social media.",high,"Over 30 individuals, male teenagers aged 13-20",-37.8136,144.9631,,,
Australie  : une trentaine de suspects arrêtés pour des guets - apens homophobes,https://www.lnc.nc/article/pacifique/australie/faits-divers/justice/australie-une-trentaine-de-suspects-arretes-pour-des-guets-apens-homophobes,20250509T231500Z,assault,,Sydney CBD,general_lgbtiq,Australie : une trentaine de suspects ont été arrêtés pour des guets-apens homophobes dans le centre-ville de Sydney.,high,,-33.8688,151.2093,,,
Trans people  attacked by same groups targeting Jews  ,https://www.canberratimes.com.au/story/8962261/trans-people-attacked-by-same-groups-targeting-jews/,20250508T090000Z,assault,,"Fitzroy, Melbourne",transgender,"Transgender individuals were physically attacked by the same groups targeting Jews in Fitzroy, Melbourne.",medium,Groups targeting Jews,-37.7882,144.978,,,
More arrests in Victoria over gay dating app attacks,https://www.outinperth.com/more-arrests-in-victoria-over-gay-dating-app-attacks/,20250510T091500Z,assault,,Victoria,gay,Multiple arrests have been made in Victoria in connection with attacks on individuals targeted through gay dating apps.,medium,,-37.4713,144.7852,,,
  Deport Queer : Shocking graffiti in WA Great Southern region,https://www.outinperth.com/deport-queers-shocking-graffiti-in-was-great-southern-region/,20250510T043000Z,vandalism,,Great Southern region,queer,Shocking graffiti with the words 'Deport Queer' found in the WA Great Southern region.,medium,,-34.8837,117.8051,,,
Big Brother star David Graham used a vile homophobic slur before assaulting a young man on his farm,https://www.dailymail.co.uk/tvshowbiz/article-14774513/Farmer-Dave-Big-Brother-David-Graham-assault.html,20250603T103000Z,assault,,New South Wales,unknown,Big Brother star David Graham used a vile homophobic slur before assaulting a young man on his farm.,high,Big Brother star David Graham,-33.4,149.5,,,
Victorian man sentenced for attacks on men he met on Grindr says TikTok vigilante videos inspired him,https://www.aol.co.uk/victorian-man-sentenced-attacks-men-051335411.html,20250603T061500Z,assault,,Victorian man's home in Sunshine West,gay,A Victorian man was sentenced for attacking men he met on Grindr at his home in Sunshine West. He claimed to be inspired by TikTok vigilante videos.,high,Victorian man,-37.7843,144.8294,,,
New wave of homophobic attacks targets users of gay dating apps like Grindr,https://www.abc.net.au/news/2025-07-06/gay-dating-app-users-lured-into-violent-homophobic-attacks/105464048,20250705T233000Z,harassment,,Darlinghurst,gay,A new wave of homophobic attacks targeting users of gay dating apps like Grindr has been reported in Darlinghurst. Victims have faced harassment and intimidation while using these apps in the area.,medium,,-33.8778,151.2197,,,
Gay Man  Needed To Learn His Lesson  Says Man Sentenced For Grindr Attack,http://www.starobserver.com.au/news/gay-man-needed-to-learn-his-lesson-says-man-sentenced-for-grindr-attack/237834,20250729T101500Z,assault,,Grindr meetup in Sunshine Coast,gay,"A man was sentenced for attacking a gay man he met on Grindr, stating that the victim 'needed to learn his lesson'. The attack took place during their meetup in Sunshine Coast.",medium,Man sentenced for the attack,-26.65,153.0667,,,
Hundreds of Dollars Raised For Convicted  Vigilante  Gay - Basher,http://www.starobserver.com.au/news/national-news/hundreds-of-dollars-raised-for-convicted-vigilante-gay-basher/237873,20250801T064500Z,assault,,Sydney CBD,gay,Hundreds of dollars were raised for a convicted vigilante who physically attacked a gay individual in Sydney CBD. The incident sparked outrage within the LGBTIQ+ community and beyond.,medium,Convicted vigilante gay-basher,-33.8688,151.2093,,,
Ex - police officer pleads not guilty to murder of gay Sydney couple,https://www.thepinknews.com/2025/08/26/beau-lamarre-condon-jesse-baird-luke-davis-not-guilty/,20250827T020000Z,murder,,Sydney,gay,An ex-police officer has pleaded not guilty to the murder of a gay Sydney couple. The incident has shocked the local community and raised concerns about violence against the LGBTIQ+ community.,high,Ex-police officer,-33.8688,151.2093,,,
Court finds Anti - trans campaigner Kirralie Smith unlawfully vilified two trans women,https://www.outinperth.com/court-finds-anti-trans-campaigner-kirralie-smith-unlawfully-vilified-two-trans-women/,20250827T061500Z,harassment,,"New South Wales Civil and Administrative Tribunal, Sydney",transgender,Anti-trans campaigner Kirralie Smith unlawfully vilified two trans women in New South Wales Civil and Administrative Tribunal in Sydney.,medium,Kirralie Smith,-33.8688,151.2093,,,
Community Condemns Attack On Transgender Person On The Gold Coast,http://www.starobserver.com.au/news/community-condemns-attack-on-transgender-person-on-the-gold-coast/239547,20251104T060000Z,assault,,Gold Coast,transgender,Community members have condemned the recent attack on a transgender person on the Gold Coast. The victim was physically assaulted in the area.,medium,,-28.0167,153.4,,,
"Police need more powers to stop  naked racism and hatred  after allowing Sydney neo - Nazi rally , premier says",https://www.aol.co.uk/articles/police-more-powers-stop-naked-061606504.html,20251108T064500Z,hate_speech,,Sydney,general_lgbtiq,The article discusses the need for more police powers to address racism and hatred following a neo-Nazi rally in Sydney.,medium,Neo-Nazi group,-33.8688,151.2093,,,
"American Scott Johnson Death 30 Years Ago in Australia Ruled Hate Crime , Not Suicide",http://www.newser.com/story/252289/30-years-after-he-fell-to-his-death-a-ruling.html,20171130T193000Z,murder,,"North Head, Manly",gay,The death of American Scott Johnson 30 years ago in Australia has been ruled a hate crime and not suicide. His body was found at the base of a cliff at North Head in Manly. The ruling brings closure to his family who have long believed he was the victim of a homophobic attack.,critical,Unknown,-33.8130902,151.2981105,2017.0,2025-12-03T06:44:26.358985,
"US mathematician death a gay hate crime , says Australia inquest",http://www.dailyexcelsior.com/565722-2/,20171130T210000Z,murder,,Sydney,gay,The death of a US mathematician in Sydney is being investigated as a gay hate crime by an Australian inquest.,critical,unknown,-33.8698439,151.2082848,2017.0,2025-12-03T06:44:17.100154,
Australia coroner : American mathematician died in hate crime in 1988,https://www.upi.com/Top_News/World-News/2017/11/30/Australian-coroner-says-student-died-of-hate-crime-not-suicide-in-1988/9461512058149/,20171130T194500Z,murder,1988-07-19,"Fair Day festival, Rushcutters Bay",gay,American mathematician Scott Johnson was found dead near a cliff at Fair Day festival in Rushcutters Bay. The coroner ruled his death as a hate crime due to the homophobic violence he faced.,critical,Perpetrator(s) unknown,-33.874,151.228,2017.0,2025-12-03T06:44:22.107321,
"Nearly 30 years later , gay man fall from an Australian cliff is ruled a hate crime",http://www.vancouversun.com/news/world/nearly+years+later+fall+from+australian+cliff+ruled+hate/16013047/story.html,20171130T190000Z,murder,,Bondi Beach,gay,"Nearly 30 years after a gay man fell from a cliff at Bondi Beach, the incident has been ruled a hate crime. The victim's sexual orientation was a factor in his death, indicating a targeted attack.",critical,Unknown,-33.8906977,151.2724119,2017.0,2025-12-03T06:44:32.408728,
"Thirty Years Later , Australia Judge Rules Fatal Fall Off Sydney Cliff As a Hate Crime",https://article.wn.com/view/2017/11/30/Thirty_Years_Later_Australia_Judge_Rules_Fatal_Fall_Off_Sydn/,20171130T184500Z,murder,,Sydney Cliff,unknown,A judge in Australia ruled that a fatal fall off a Sydney cliff 30 years ago was a hate crime. The victim's identity was not specified in the article.,critical,unknown,-33.8525478,151.2104617,2017.0,2025-12-03T06:44:44.915541,
"Gay man found smashed to death at the bottom of a cliff was killed in homophobic hate crime , says coroner · PinkNews",http://www.pinknews.co.uk/2017/11/30/gay-man-found-smashed-to-death-at-the-bottom-of-a-cliff-was-killed-in-homophobic-hate-crime-says-coroner/,20171130T181500Z,murder,,cliff in undisclosed location,gay,"A gay man was found smashed to death at the bottom of a cliff, and the coroner determined it was a homophobic hate crime.",critical,Unknown,-33.8131,151.2981,2017.0,2025-12-03T06:44:51.004135,
American found naked and dead in Australia in 1988 was killed in gay hate crime : coroner,https://www.aol.com/article/news/2017/11/30/american-found-naked-and-dead-in-australia-in-1988-was-killed-in-gay-hate-crime-coroner/23292977/,20171130T180000Z,murder,1988-XX-XX,Sydney,gay,"An American man was found naked and dead in Sydney, Australia in 1988. The coroner determined that he was killed in a gay hate crime.",critical,Unknown,-33.8698439,151.2082848,2017.0,2025-12-03T06:44:55.164391,
Mathematician killed because he was gay : Australia inquest,http://www.enca.com/world/mathematician-killed-because-he-was-gay-australia-inquest,20171130T064500Z,murder,,Australia inquest did not specify a specific location,gay,"A mathematician was killed because of his sexual orientation, highlighting the ongoing issue of violence against the LGBTIQ+ community in Australia.",critical,Unknown,-33.8131,151.2981,2017.0,2025-12-03T06:45:59.034855,
"Scott died as a result of a gay hate attack , coroner finds",http://www.portnews.com.au/story/5091529/scott-died-as-a-result-of-a-gay-hate-attack-coroner-finds/,20171130T060000Z,murder,,Sydney,gay,The coroner found that Scott died as a result of a gay hate attack in Sydney. The specific details of the attack were not provided in the article.,critical,Unknown,-33.8698439,151.2082848,2017.0,2025-12-03T06:46:10.208741,
Five charged with violent murder of Malaysian trans woman,http://www.starobserver.com.au/news/international-news-news/five-charged-with-violent-murder-of-malaysian-trans-woman/174713,20181227T070000Z,murder,,Melbourne,transgender,Five individuals have been charged with the violent murder of a Malaysian trans woman in Melbourne. The victim's identity was targeted in this tragic incident.,critical,Five individuals charged with the murder,-37.8142454,144.9631732,2018.0,2025-12-03T06:48:33.684146,
Police offer $1 million reward in gay hate murder of Scott Johnson,http://www.starobserver.com.au/news/national-news/new-south-wales-news/police-offer-1-million-reward-in-gay-hate-murder-of-scott-johnson/174261,20181211T094500Z,murder,,Manly,gay,"Scott Johnson, a gay man, was murdered in a gay hate crime in Manly. Police are offering a $1 million reward for information leading to the conviction of those responsible.",critical,unknown,-33.7971937,151.2879845,2018.0,2025-12-03T06:48:53.238487,
Kiss at a fried chicken shop landed me a black eye and put my friend in hospital,https://www.gaystarnews.com/article/kiss-at-a-fried-chicken-shop-landed-me-a-black-eye-and-put-my-friend-in-hospital/,20181005T064500Z,assault,,Fried chicken shop in Sydney,gay,"Two friends were physically attacked after sharing a kiss at a fried chicken shop, resulting in one person getting a black eye and the other being hospitalized.",medium,Perpetrators unknown,-33.878,151.219,2018.0,2025-12-03T06:50:58.607470,
Sydney gay man films homophobic attack at petrol station,https://www.gaystarnews.com/article/sydney-gay-man-films-homophobic-attack-at-petrol-station/,20171221T104500Z,harassment,,Sydney,gay,A gay man in Sydney filmed a homophobic attack at a petrol station where he was verbally harassed and threatened by another individual.,medium,Another individual at the petrol station,-33.8698439,151.2082848,2017.0,2025-12-03T06:51:24.742369,
RUSH HOUR : Man glassed for holding boyfriend hand,http://www.geelongadvertiser.com.au/news/rush-hour-man-glassed-for-holding-boyfriends-hand/news-story/282e0293fe3b9929ce396294d67833c2?nk=58fd3c889a8fbbaf0c230046471abb4d-1511391708,20171122T231500Z,assault,,Sydney CBD,gay,A man was glassed for holding his boyfriend's hand in Sydney CBD. The attack was a targeted act of violence against the victim's sexual orientation.,medium,Perpetrator's identity not specified,-33.8747234,151.2053644,2017.0,2025-12-03T06:51:30.470506,
Man glassed in the face in horror homophobic attack,https://www.echonews.com.au/news/man-glassed-face-horror-homophobic-attack/3272547/,20171122T230000Z,assault,,Darlinghurst,unknown,A man was glassed in the face in a horror homophobic attack in Darlinghurst.,high,unknown,-33.8783381,151.219225,2017.0,2025-12-03T06:51:35.002050,
Gippsland LGBT woman punched in homophobic attack in Sale,http://www.dailymail.co.uk/news/article-5048835/Gippsland-LGBT-woman-punched-homophobic-attack-Sale.html,20171104T031500Z,assault,,Sale,LGBT woman,A Gippsland LGBT woman was punched in a homophobic attack in Sale.,medium,Unknown,-38.1094463,147.0656717,2017.0,2025-12-03T06:51:51.279682,
Stokes hailed for saving gay duo from homophobic attacks,http://www.prokerala.com/news/articles/a783161.html,20171028T123000Z,assault,,Sydney,gay,Cricketer Ben Stokes was praised for intervening to stop a group of men from attacking a gay couple in Sydney. The men were reportedly shouting homophobic slurs and threatening the couple before Stokes stepped in.,medium,group of men,-33.8698439,151.2082848,2017.0,2025-12-03T06:51:59.320350,
Giant mural of ‘ Saint George Michael ’ vandalised with homophobic slurs · PinkNews,http://www.pinknews.co.uk/2017/10/15/giant-mural-of-saint-george-michael-vandalised-with-homophobic-slurs/,20171015T160000Z,vandalism,,Sydney,general_lgbtiq,"A giant mural of 'Saint George Michael' in Sydney was vandalised with homophobic slurs, targeting the LGBTIQ+ community.",medium,Unknown,-33.8698439,151.2082848,2017.0,2025-12-03T06:52:06.498186,
Four cops charged for inflicting  fatal harm  on gay activist Zak Kostopoulos · PinkNews,https://www.pinknews.co.uk/2018/12/05/four-cops-charges-death-zak-kostopoulos/,20181205T133000Z,murder,,Athens,gay,"Four cops charged for inflicting fatal harm on gay activist Zak Kostopoulos in Athens, Greece.",critical,Four police officers,-36.4279636,148.6149572,2018.0,2025-12-03T07:12:36.819661,
Gay man knocked out for kissing another man in chicken shop,https://metro.co.uk/2018/10/08/gay-man-knocked-out-for-kissing-another-man-in-chicken-shop-8017077/,20181008T124500Z,assault,,chicken shop in Sydney,gay,A gay man was knocked out after kissing another man in a chicken shop in Sydney. The attack was believed to be motivated by homophobia.,medium,Perpetrator's identity not specified,-33.878,151.219,2018.0,2025-12-03T07:13:11.025948,
Perth youths plead guilty to gay bashing men they baited on Grindr,http://www.starobserver.com.au/news/national-news/western-australia/perth-youths-plead-guilty-gay-bashing-men-lured-grindr/163987,20171120T094500Z,assault,,Perth,gay,"Perth youths pleaded guilty to assaulting men they baited on Grindr, targeting individuals based on their sexual orientation.",high,Perth youths,-31.9558967,115.8605784,2017.0,2025-12-03T07:17:53.790820,
Transgender Lebanese belly dancer raped relives night of terror unmasks herself empower victims,https://www.dailymail.co.uk/news/article-6492075/Transgender-Lebanese-belly-dancer-raped-relives-night-terror-unmasks-empower-victims.html,20181213T203000Z,rape,,unknown,transgender,A transgender Lebanese belly dancer who was raped has decided to speak out to empower other victims of sexual violence.,high,unknown,-36.9432611,145.9277185,2018.0,2025-12-03T07:28:30.654336,
Residents in Sydney gay suburbs are sent homophobic letters blaming them for the drought,https://www.dailymail.co.uk/news/article-6237931/Residents-Sydneys-gay-suburbs-sent-homophobic-letters-blaming-drought.html,20181004T014500Z,hate_speech,,Sydney gay suburbs,gay,"Residents in Sydney gay suburbs received homophobic letters blaming them for the drought, indicating a targeted act of hate speech towards the LGBTQ+ community.",low,,-33.878,151.212,2018.0,2025-12-03T07:44:47.186830,
Letters  written by Jesu blame gays for droughts and hail storms in Australia again · PinkNews,https://www.pinknews.co.uk/2018/10/03/letters-jesus-gay-drought-sydney/,20181003T214500Z,hate_speech,,Australia,LGBTIQ+,"Letters written by Jesu blaming gays for natural disasters in Australia, perpetuating harmful stereotypes and discrimination.",medium,Letters written by Jesu,-24.7761086,134.755,2018.0,2025-12-03T07:44:50.793782,
  Jesu blames Sydney gay people for drought in bizarre homophobic letter,https://www.gaystarnews.com/article/jesus-sydney-drought-same-sex-marriage/,20181004T171500Z,hate_speech,,Sydney,gay,"A person named Jesu blamed Sydney's gay community for the drought in a homophobic letter, displaying hate speech towards the LGBTIQ+ individuals.",low,Jesu,-33.8698439,151.2082848,2018.0,2025-12-03T07:46:16.170237,
  Jesu blames drought on same - sex marriage in strange Sydney letter drop,http://www.starobserver.com.au/news/national-news/new-south-wales-news/jesus-blames-drought-same-sex-marriage-strange-sydney-flyers/172233,20181004T073000Z,hate_speech,,Sydney,LGBTIQ+,"A letter drop in Sydney blamed the drought on same-sex marriage, targeting the LGBTIQ+ community with hateful speech.",low,Unknown,-33.8698439,151.2082848,2018.0,2025-12-03T07:46:20.256404,
  Homophobic  man wanted by cops after a couple threatened on train,https://www.thegayuk.com/homophobic-man-wanted-by-cops-after-a-couple-threatened-on-train/,20171229T123000Z,threat,,train in unspecified location,gay couple,"A homophobic man threatened a gay couple on a train, prompting a police search for the perpetrator.",medium,Homophobic man,-33.8688,151.2093,2017.0,2025-12-03T07:59:13.603170,
Transgender woman shoved officer onto railway tracks,http://www.dailymail.co.uk/news/article-5120999/Transgender-woman-shoved-officer-railway-tracks.html,20171127T120000Z,assault,,railway tracks,transgender,A transgender woman shoved an officer onto railway tracks.,medium,Unknown,-35.3176528,149.1491476,2017.0,2025-12-03T07:59:49.109283,
Group of men spat alcohol on teenage boy and told him he had  skin colour of a dog  on train,https://www.independent.co.uk/news/uk/crime/group-spit-alcohol-teenage-boy-hate-crime-racial-abuse-preston-park-hassocks-sussex-a8649006.html,20181123T213000Z,harassment,,train,unknown,A group of men spat alcohol on a teenage boy and made racist remarks about his skin color on a train.,medium,Group of men,-32.0517924,115.7454687,2018.0,2025-12-03T08:14:28.468096,
Man suffered horrific head injury in  homophobic  attack after kissing someone in bar,https://www.mirror.co.uk/news/uk-news/man-suffered-horrific-head-injury-21065939,20191210T161500Z,assault,,bar in Sydney,gay,A man suffered a horrific head injury in a homophobic attack after kissing someone in a bar in Sydney.,high,Perpetrator's identity not specified,-33.8695468,151.2086788,2019.0,2025-12-03T08:40:40.339045,
Hate mail left in gay couple letterbox on Sunshine Coast,http://www.abc.net.au/news/2017-11-28/gay-hate-mail-condemned/9201176,20171128T084500Z,harassment,,Sunshine Coast,gay,"Hate mail was left in the letterbox of a gay couple on the Sunshine Coast, targeting them based on their sexual orientation.",low,Unknown,-26.6544338,153.0933668,2017.0,2025-12-03T08:46:19.949387,
Gay QLD couple sent threatening letters after  Ye vote,https://au.news.yahoo.com/a/38005094/gay-qld-couple-sent-threatening-letters-after-yes-vote/,20171125T043000Z,threat,,Queensland,gay,A gay couple in Queensland received threatening letters after the Ye vote.,medium,Unknown,-22.1646782,144.5844903,2017.0,2025-12-03T08:46:32.740914,
Greens leader suspended for abusing transgender woman – Whale Oil Beef Hooked,https://www.whaleoil.co.nz/2018/11/greens-leader-suspended-for-abusing-transgender-woman/,20181130T041500Z,harassment,,unknown,transgender,"The Greens leader was suspended for verbally abusing a transgender woman, displaying discriminatory behavior towards her.",medium,Greens leader,-36.9432611,145.9277185,2018.0,2025-12-03T08:48:14.803734,
Teenager throws acid on boyfriend  because he refused to marry her  ,https://www.independent.co.uk/news/world/asia/acid-attack-india-teenager-girl-boyfriend-aligarh-uttar-pradesh-police-a9172411.html,20191026T191500Z,assault,,Sydney,unknown,A teenager threw acid on their boyfriend after he refused to marry her in Sydney.,high,Teenager,-33.8698439,151.2082848,2019.0,2025-12-03T09:54:36.143447,
Man set boss on fire over ‘ unwanted gay advances ’ ,http://attitude.co.uk/man-set-boss-on-fire-over-unwanted-gay-advances/,20171123T171500Z,assault,,Sydney,gay,A man set his boss on fire allegedly due to 'unwanted gay advances'. The victim suffered severe burns as a result of the attack.,high,The perpetrator was identified as a man who worked for the victim.,-33.8698439,151.2082848,2017.0,2025-12-03T10:06:34.635824,
Police defend not warning the LGBTI community about gay bashings,http://www.outinperth.com/police-defend-not-warning-lgbti-community-spate-gay-bashings/,20171120T101500Z,assault,,Darlinghurst,gay,"Police did not warn the LGBTI community about recent gay bashings in Darlinghurst, leading to concerns about safety and lack of communication.",medium,,-33.8783381,151.219225,2017.0,2025-12-03T10:06:56.809753,
Grindr teen photo used to lure gay men to Perth bashings,http://www.dailymail.co.uk/news/article-5091075/Grindr-teen-photo-used-lure-gay-men-Perth-bashings.html,20171117T001500Z,assault,,Perth,gay men,A Grindr teen photo was used to lure gay men to Perth where they were subjected to bashings.,high,Perpetrators who used the fake Grindr profile to lure victims,-31.9558967,115.8605784,2017.0,2025-12-03T10:07:10.377175,
Hate crime charge after man  throws acid in US citizen face and tells him to go back to his own country  ,https://www.independent.co.uk/news/world/americas/milwaukee-acid-attack-hate-crime-wisconsin-clifton-blackwell-mahud-villalaz-court-a9188871.html,20191107T111500Z,assault,,unknown,gay|lesbian|transgender|bisexual|queer|general_lgbtiq|unknown,"A man threw acid in the face of a US citizen and told him to go back to his own country, resulting in a hate crime charge.",high,unknown,-36.9432611,145.9277185,,2025-12-03T04:53:51.373497,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
Man Sentenced To Six And A Half Years In Prison Over Perth Gay Bashings,https://www.starobserver.com.au/news/man-sentenced-to-six-and-a-half-years-in-prison-over-perth-gay-bashings/207064,20211119T221500Z,assault,,Perth,gay,A man has been sentenced to six and a half years in prison for carrying out gay bashings in Perth.,high,The perpetrator targeted individuals based on their sexual orientation.,-31.9558967,115.8605784,,2025-12-03T04:56:08.595661,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
Murdered Gay Lecturer George Duncan Honoured By University Of Adelaide,https://www.starobserver.com.au/news/murdered-gay-lecturer-george-duncan-honoured-by-university-of-adelaide/218636,20221125T233000Z,murder,,"River Torrens, Adelaide",gay,"The article discusses the honoring of George Duncan, a gay lecturer who was murdered in 1972 by being thrown into the River Torrens in Adelaide. The University of Adelaide is now honoring his memory.",critical,unknown,-34.8514658,138.7923773,,2025-12-03T04:57:07.490132,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
Scott White tries to overturn conviction for murder of gay mathematician Scott Johnson,https://www.dailymail.co.uk/news/article-11351161/Scott-White-tries-overturn-conviction-murder-gay-mathematician-Scott-Johnson.html,20221025T060000Z,murder,,Manly,gay,"Scott White is attempting to overturn his conviction for the murder of gay mathematician Scott Johnson in Manly. Johnson's body was found at the base of a cliff in 1988, initially ruled as suicide but later determined to be a homicide.",critical,Scott White,-33.7971937,151.2879845,,2025-12-03T05:00:08.024726,"""hate crime"" AND (LGBTIQ OR LGBT OR gay OR lesbian OR transgender) AND Australia"
