title,url,source_date,incident_type,date,location,victim_identity,description,severity,perpetrator_info,latitude,longitude,year_found,found_at
Peter Keeley fatally assaulted after being lured via Grindr,https://www.9news.com.au/national/peter-keeley-teenagers-jailed-fatal-bashing-grindr-lure-sentenced/ab680488-43fe-4b83-abb1-c5b7b43a2b59,2020-07-01T00:00:00Z,assault,2020-07-01,"Broulee, NSW",gay,56-year-old Peter Keeley was lured via Grindr and fatally assaulted by teenagers. The perpetrators were later convicted of detaining Keeley with intent to commit grievous bodily harm.,high,Three teenagers,-35.8586,150.1792,,
Canberra man assaulted by group after being lured via Grindr,https://www.abc.net.au/news/2024-08-08/grindr-in-communication-with-act-police-over-alleged-attacks/104199142,2024-07-15T00:00:00Z,assault,2024-07-15,"Canberra, ACT",gay,A man was assaulted by four individuals after being lured via Grindr in Canberra. The attack was part of a series of homophobic incidents in the area.,high,Four individuals,-35.2809,149.13,,
Second Canberra Grindr attack - victim assaulted by group wearing face coverings,https://www.abc.net.au/news/2024-08-08/grindr-in-communication-with-act-police-over-alleged-attacks/104199142,2024-07-20T00:00:00Z,assault,2024-07-20,"Canberra, ACT",gay,"Second victim in Canberra Grindr attack series. Victim was assaulted by up to eight individuals, some wearing face coverings. Police believe these incidents are connected.",high,"Up to eight assailants, some wearing face coverings",-35.2809,149.13,,
Third Canberra Grindr attack victim reports assault and robbery,https://www.abc.net.au/news/2024-08-08/grindr-in-communication-with-act-police-over-alleged-attacks/104199142,2024-07-25T00:00:00Z,assault,2024-07-25,"Canberra, ACT",gay,Third man in Canberra reports being lured by deceptive Grindr profile and subsequently assaulted and robbed. Grindr collaborated with local LGBTQIA+ organizations to issue safety warnings.,high,Multiple assailants,-35.2809,149.13,,
Melbourne Grindr attacks - 13 individuals arrested,https://www.theguardian.com/australia-news/2024/oct/17/victoria-gay-men-grindr-dating-app-attacks-police-arrests-ntwnfb,2024-10-17T00:00:00Z,assault,2024-10-01,"Melbourne, Victoria",gay,"Victoria Police arrested 13 individuals for attacks on gay men lured via dating apps including Grindr. Victims were assaulted, robbed, and subjected to homophobic abuse.",high,"13 individuals arrested, primarily teenagers",-37.8136,144.9631,,
Perth Grindr attack - victim tasered and teeth knocked out,https://www.fusemagazine.com.au/lgbtiq-news/australia/1148-five-teenagers-jailed-for-grindr-assault-scheme.html,2024-12-01T00:00:00Z,assault,2024-11-15,"Perth, Western Australia",gay,"Victim was lured to secluded location via fake Grindr profile, then tasered and had his teeth knocked out. Attackers used weapons including knives, machete, metal bar, and pepper spray.",high,"Five teenagers, armed with knives, machete, metal bar, pepper spray, and taser",-31.9505,115.8605,,
Perth Grindr scheme - multiple victims robbed and assaulted,https://www.abc.net.au/news/2025-09-23/teenagers-detention-grindr-attacks-men-perth/105807670,2024-12-15T00:00:00Z,assault,2024-12-01,"Perth, Western Australia",gay,Series of violent homophobic attacks in Perth where teenagers used fake Grindr profiles to lure gay men to secluded areas. Victims were robbed and violently assaulted.,high,Group of teenagers under 17,-31.9505,115.8605,,
Sydney Grindr robbery - victim 1 threatened and robbed,https://www.theguardian.com/australia-news/2025/may/21/sydney-men-jailed-gay-dating-app-grindr-robberies-ntwnfb,2023-06-01T00:00:00Z,assault,2023-06-01,"Sydney, NSW",gay,"Victim met attackers through Grindr, was threatened and forced to hand over phone and bank details. Money was subsequently stolen from his account.",medium,Andrew James Tanswell and George Phoenix Leilua,-33.8688,151.2093,,
Sydney Grindr robbery - victim 2 targeted in scheme,https://www.theguardian.com/australia-news/2025/may/21/sydney-men-jailed-gay-dating-app-grindr-robberies-ntwnfb,2023-07-15T00:00:00Z,assault,2023-07-15,"Sydney, NSW",gay,"Second victim in Sydney Grindr robbery scheme. Victim was threatened and coerced into providing bank details, resulting in significant financial losses.",medium,Andrew James Tanswell and George Phoenix Leilua,-33.8688,151.2093,,
Sydney Grindr robbery - victim 3 robbed and threatened,https://www.theguardian.com/australia-news/2025/may/21/sydney-men-jailed-gay-dating-app-grindr-robberies-ntwnfb,2023-09-01T00:00:00Z,assault,2023-09-01,"Sydney, NSW",gay,Third victim in Sydney Grindr robbery scheme targeting gay men met through the dating app.,medium,Andrew James Tanswell and George Phoenix Leilua,-33.8688,151.2093,,
Sydney Grindr robbery - victim 4 forced to hand over belongings,https://www.theguardian.com/australia-news/2025/may/21/sydney-men-jailed-gay-dating-app-grindr-robberies-ntwnfb,2023-10-15T00:00:00Z,assault,2023-10-15,"Sydney, NSW",gay,Fourth victim in Sydney Grindr robbery scheme. Perpetrators sentenced to over six years in prison.,medium,Andrew James Tanswell and George Phoenix Leilua,-33.8688,151.2093,,
Sydney Grindr robbery - victim 5 targeted,https://www.theguardian.com/australia-news/2025/may/21/sydney-men-jailed-gay-dating-app-grindr-robberies-ntwnfb,2023-12-01T00:00:00Z,assault,2023-12-01,"Sydney, NSW",gay,Fifth and final victim in Sydney Grindr robbery scheme. The two perpetrators were sentenced to over six years imprisonment in May 2025.,medium,Andrew James Tanswell and George Phoenix Leilua,-33.8688,151.2093,,
Melbourne man attacked by TikTok-inspired assailant via Grindr,https://www.theguardian.com/australia-news/2025/jun/03/christian-keryakus-grindr-attacks-tiktok-vigilante-videos-ntwnfb,2024-08-01T00:00:00Z,assault,2024-08-01,"Melbourne, Victoria",gay,First victim attacked by 19-year-old Christian Keryakus who admitted to being inspired by vigilante videos on TikTok. Met victim through Grindr.,high,"Christian Keryakus, 19, inspired by TikTok vigilante videos",-37.8136,144.9631,,
Second Melbourne man attacked by TikTok-inspired Grindr assailant,https://www.theguardian.com/australia-news/2025/jun/03/christian-keryakus-grindr-attacks-tiktok-vigilante-videos-ntwnfb,2024-09-01T00:00:00Z,assault,2024-09-01,"Melbourne, Victoria",gay,Second victim attacked by Christian Keryakus after being lured through Grindr. Perpetrator was sentenced in June 2025.,high,"Christian Keryakus, 19, inspired by TikTok vigilante videos",-37.8136,144.9631,,
Victoria Grindr attacks - 30+ arrested for targeting gay men,https://www.abc.net.au/news/2025-05-09/dating-app-lgbtqi-scammers-crime/105270744,2025-05-09T00:00:00Z,assault,2025-01-01,"Melbourne, Victoria",gay,"Victoria Police arrested over 30 individuals, primarily male teenagers aged 13-20, for attacks on men lured via Grindr. Victims were assaulted, robbed, and subjected to homophobic slurs. Some attacks were filmed and shared on social media.",high,"Over 30 individuals, male teenagers aged 13-20",-37.8136,144.9631,,
Australie  : une trentaine de suspects arrêtés pour des guets - apens homophobes,https://www.lnc.nc/article/pacifique/australie/faits-divers/justice/australie-une-trentaine-de-suspects-arretes-pour-des-guets-apens-homophobes,20250509T231500Z,assault,,Sydney CBD,general_lgbtiq,Australie : une trentaine de suspects ont été arrêtés pour des guets-apens homophobes dans le centre-ville de Sydney.,high,,-33.8688,151.2093,,
Trans people  attacked by same groups targeting Jews  ,https://www.canberratimes.com.au/story/8962261/trans-people-attacked-by-same-groups-targeting-jews/,20250508T090000Z,assault,,"Fitzroy, Melbourne",transgender,"Transgender individuals were physically attacked by the same groups targeting Jews in Fitzroy, Melbourne.",medium,Groups targeting Jews,-37.7882,144.978,,
Trans people  attacked by same groups targeting Jews  ,https://www.illawarramercury.com.au/story/8962261/trans-people-attacked-by-same-groups-targeting-jews/,20250508T083000Z,assault,,"Fitzroy, Melbourne",transgender,"Transgender individuals were physically attacked by the same groups targeting Jews in Fitzroy, Melbourne.",medium,Groups targeting Jews,-37.7882,144.978,,
More arrests in Victoria over gay dating app attacks,https://www.outinperth.com/more-arrests-in-victoria-over-gay-dating-app-attacks/,20250510T091500Z,assault,,Victoria,gay,Multiple arrests have been made in Victoria in connection with attacks on individuals targeted through gay dating apps.,medium,,-37.4713,144.7852,,
  Deport Queer : Shocking graffiti in WA Great Southern region,https://www.outinperth.com/deport-queers-shocking-graffiti-in-was-great-southern-region/,20250510T043000Z,vandalism,,Great Southern region,queer,Shocking graffiti with the words 'Deport Queer' found in the WA Great Southern region.,medium,,-34.8837,117.8051,,
Trans people  attacked by same groups targeting Jews  ,https://www.muswellbrookchronicle.com.au/story/8962261/trans-people-attacked-by-same-groups-targeting-jews/,20250508T110000Z,assault,,"Fitzroy, Melbourne",transgender,"Transgender individuals were physically attacked by the same groups targeting Jews in Fitzroy, Melbourne.",medium,Groups targeting Jews,-37.7882,144.978,,
Trans people  attacked by same groups targeting Jews  ,https://www.mandurahmail.com.au/story/8962261/trans-people-attacked-by-same-groups-targeting-jews/,20250508T110000Z,assault,,"Fitzroy, Melbourne",transgender,"Transgender individuals were physically attacked by the same groups targeting Jews in Fitzroy, Melbourne.",medium,Groups targeting Jews,-37.7882,144.978,,
Trans people  attacked by same groups targeting Jews  ,https://www.bluemountainsgazette.com.au/story/8962261/trans-people-attacked-by-same-groups-targeting-jews/,20250508T110000Z,assault,,"Newtown, Sydney",transgender,"Transgender individuals were physically attacked by the same groups that target Jews in Newtown, Sydney.",medium,Groups targeting Jews,-33.8978,151.1792,,
Trans people  attacked by same groups targeting Jews  ,https://www.blayneychronicle.com.au/story/8962261/trans-people-attacked-by-same-groups-targeting-jews/,20250508T090000Z,assault,,"Fitzroy, Melbourne",transgender,"Transgender individuals were physically attacked by the same groups targeting Jews in Fitzroy, Melbourne.",high,Groups targeting Jews,-37.7882,144.978,,
Trans people  attacked by same groups targeting Jews  ,https://www.crookwellgazette.com.au/story/8962261/trans-people-attacked-by-same-groups-targeting-jews/,20250508T084500Z,assault,,"Fitzroy, Melbourne",transgender,"Transgender individuals were physically attacked by the same groups targeting Jews in Fitzroy, Melbourne.",medium,Groups targeting Jews,-37.7882,144.978,,
Trans people  attacked by same groups targeting Jews  ,https://www.hepburnadvocate.com.au/story/8962261/trans-people-attacked-by-same-groups-targeting-jews/,20250508T084500Z,assault,,"Fitzroy, Melbourne",transgender,"Transgender individuals were physically attacked by the same groups targeting Jews in Fitzroy, Melbourne.",high,Groups targeting Jews,-37.7882,144.978,,
Trans people  attacked by same groups targeting Jews  ,https://www.hawkesburygazette.com.au/story/8962261/trans-people-attacked-by-same-groups-targeting-jews/,20250508T084500Z,assault,,"Fitzroy, Melbourne",transgender,"Transgender individuals were physically attacked by the same groups targeting Jews in Fitzroy, Melbourne.",medium,Groups targeting Jews,-37.7882,144.978,,
Trans people  attacked by same groups targeting Jews  ,https://www.yasstribune.com.au/story/8962261/trans-people-attacked-by-same-groups-targeting-jews/,20250508T084500Z,assault,,"Fitzroy, Melbourne",transgender,"Transgender individuals were physically attacked by the same groups targeting Jews in Fitzroy, Melbourne.",medium,Groups targeting Jews,-37.7882,144.978,,
Trans people  attacked by same groups targeting Jews  ,https://www.narrominenewsonline.com.au/story/8962261/trans-people-attacked-by-same-groups-targeting-jews/,20250508T090000Z,assault,,"Fitzroy, Melbourne",transgender,"Transgender individuals were physically attacked by the same groups targeting Jews in Fitzroy, Melbourne.",medium,Groups targeting Jews,-37.7882,144.978,,
Trans people  attacked by same groups targeting Jews  ,https://www.redlandcitybulletin.com.au/story/8962261/trans-people-attacked-by-same-groups-targeting-jews/,20250508T094500Z,assault,,"Fitzroy, Melbourne",transgender,"Transgender individuals were physically attacked by the same groups targeting Jews in Fitzroy, Melbourne.",medium,Groups targeting Jews,-37.7882,144.978,,
Trans people  attacked by same groups targeting Jews  ,https://www.edenmagnet.com.au/story/8962261/trans-people-attacked-by-same-groups-targeting-jews/,20250508T113000Z,assault,,"Newtown, Sydney",transgender,"Transgender individuals were physically attacked by the same groups targeting Jews in Newtown, Sydney.",medium,Groups targeting Jews,-33.8978,151.1792,,
Trans people  attacked by same groups targeting Jews  ,https://www.newcastleherald.com.au/story/8962261/trans-people-attacked-by-same-groups-targeting-jews/,20250508T110000Z,assault,,"Fitzroy, Melbourne",transgender,"Transgender individuals were physically attacked by the same groups targeting Jews in Fitzroy, Melbourne.",medium,Groups targeting Jews,-37.7882,144.978,,
Trans people  attacked by same groups targeting Jews  ,https://www.maitlandmercury.com.au/story/8962261/trans-people-attacked-by-same-groups-targeting-jews/,20250508T090000Z,assault,,"Fitzroy, Melbourne",transgender,"Transgender individuals were physically attacked by the same groups targeting Jews in Fitzroy, Melbourne.",high,Groups targeting Jews,-37.7882,144.978,,
Trans people  attacked by same groups targeting Jews  ,https://www.begadistrictnews.com.au/story/8962261/trans-people-attacked-by-same-groups-targeting-jews/,20250508T084500Z,assault,,"Newtown, Sydney",transgender,"Transgender individuals were physically attacked by the same groups targeting Jews in Newtown, Sydney.",medium,Groups targeting Jews,-33.8978,151.1792,,
Trans people  attacked by same groups targeting Jews  ,https://www.wellingtontimes.com.au/story/8962261/trans-people-attacked-by-same-groups-targeting-jews/,20250508T083000Z,assault,,"Fitzroy, Melbourne",transgender,"Transgender individuals were physically attacked by the same groups targeting Jews in Fitzroy, Melbourne.",high,Groups targeting Jews,-37.7882,144.978,,
Trans people  attacked by same groups targeting Jews  ,https://www.goulburnpost.com.au/story/8962261/trans-people-attacked-by-same-groups-targeting-jews/,20250508T081500Z,assault,,"Fitzroy, Melbourne",transgender,"Transgender individuals were physically attacked by the same groups targeting Jews in Fitzroy, Melbourne.",medium,Groups targeting Jews,-37.7882,144.978,,
Big Brother star David Graham used a vile homophobic slur before assaulting a young man on his farm,https://www.dailymail.co.uk/tvshowbiz/article-14774513/Farmer-Dave-Big-Brother-David-Graham-assault.html,20250603T103000Z,assault,,New South Wales,unknown,Big Brother star David Graham used a vile homophobic slur before assaulting a young man on his farm.,high,Big Brother star David Graham,-33.4,149.5,,
Victorian man sentenced for attacks on men he met on Grindr says TikTok vigilante videos inspired him,https://www.aol.co.uk/victorian-man-sentenced-attacks-men-051335411.html,20250603T061500Z,assault,,Victorian man's home in Sunshine West,gay,A Victorian man was sentenced for attacking men he met on Grindr at his home in Sunshine West. He claimed to be inspired by TikTok vigilante videos.,high,Victorian man,-37.7843,144.8294,,
New wave of homophobic attacks targets users of gay dating apps like Grindr,https://www.abc.net.au/news/2025-07-06/gay-dating-app-users-lured-into-violent-homophobic-attacks/105464048,20250705T233000Z,harassment,,Darlinghurst,gay,A new wave of homophobic attacks targeting users of gay dating apps like Grindr has been reported in Darlinghurst. Victims have faced harassment and intimidation while using these apps in the area.,medium,,-33.8778,151.2197,,
Gay Man  Needed To Learn His Lesson  Says Man Sentenced For Grindr Attack,http://www.starobserver.com.au/news/gay-man-needed-to-learn-his-lesson-says-man-sentenced-for-grindr-attack/237834,20250729T101500Z,assault,,Grindr meetup in Sunshine Coast,gay,"A man was sentenced for attacking a gay man he met on Grindr, stating that the victim 'needed to learn his lesson'. The attack took place during their meetup in Sunshine Coast.",medium,Man sentenced for the attack,-26.65,153.0667,,
Hundreds of Dollars Raised For Convicted  Vigilante  Gay - Basher,http://www.starobserver.com.au/news/national-news/hundreds-of-dollars-raised-for-convicted-vigilante-gay-basher/237873,20250801T064500Z,assault,,Sydney CBD,gay,Hundreds of dollars were raised for a convicted vigilante who physically attacked a gay individual in Sydney CBD. The incident sparked outrage within the LGBTIQ+ community and beyond.,medium,Convicted vigilante gay-basher,-33.8688,151.2093,,
Ex - police officer pleads not guilty to murder of gay Sydney couple,https://www.thepinknews.com/2025/08/26/beau-lamarre-condon-jesse-baird-luke-davis-not-guilty/,20250827T020000Z,murder,,Sydney,gay,An ex-police officer has pleaded not guilty to the murder of a gay Sydney couple. The incident has shocked the local community and raised concerns about violence against the LGBTIQ+ community.,high,Ex-police officer,-33.8688,151.2093,,
Court finds Anti - trans campaigner Kirralie Smith unlawfully vilified two trans women,https://www.outinperth.com/court-finds-anti-trans-campaigner-kirralie-smith-unlawfully-vilified-two-trans-women/,20250827T061500Z,harassment,,"New South Wales Civil and Administrative Tribunal, Sydney",transgender,Anti-trans campaigner Kirralie Smith unlawfully vilified two trans women in New South Wales Civil and Administrative Tribunal in Sydney.,medium,Kirralie Smith,-33.8688,151.2093,,
Community Condemns Attack On Transgender Person On The Gold Coast,http://www.starobserver.com.au/news/community-condemns-attack-on-transgender-person-on-the-gold-coast/239547,20251104T060000Z,assault,,Gold Coast,transgender,Community members have condemned the recent attack on a transgender person on the Gold Coast. The victim was physically assaulted in the area.,medium,,-28.0167,153.4,,
"Police need more powers to stop  naked racism and hatred  after allowing Sydney neo - Nazi rally , premier says",https://www.aol.co.uk/articles/police-more-powers-stop-naked-061606504.html,20251108T064500Z,hate_speech,,Sydney,general_lgbtiq,The article discusses the need for more police powers to address racism and hatred following a neo-Nazi rally in Sydney.,medium,Neo-Nazi group,-33.8688,151.2093,,
American Scott Johnson fatal fall off Sydney cliff ruled gay hate crime,https://www.nbcnews.com/news/world/american-scott-johnson-s-fatal-fall-sydney-cliff-ruled-gay-n825166?cid=public-rss_20171203,20171203T050000Z,murder,,Sydney cliff,gay,American Scott Johnson fell off a cliff in Sydney and his death has been ruled as a gay hate crime.,critical,Unknown,,,2017.0,2025-12-03T06:44:02.531134
"US mathematician death a gay hate crime , says Australia inquest",http://www.dailyexcelsior.com/565722-2/,20171130T210000Z,murder,,Sydney,gay,The death of a US mathematician in Sydney is being investigated as a gay hate crime by an Australian inquest.,critical,unknown,-33.8698439,151.2082848,2017.0,2025-12-03T06:44:17.100154
Australia coroner : American mathematician died in hate crime in 1988,https://www.upi.com/Top_News/World-News/2017/11/30/Australian-coroner-says-student-died-of-hate-crime-not-suicide-in-1988/9461512058149/,20171130T194500Z,murder,1988-07-19,"Fair Day festival, Rushcutters Bay",gay,American mathematician Scott Johnson was found dead near a cliff at Fair Day festival in Rushcutters Bay. The coroner ruled his death as a hate crime due to the homophobic violence he faced.,critical,Perpetrator(s) unknown,,,2017.0,2025-12-03T06:44:22.107321
"American Scott Johnson Death 30 Years Ago in Australia Ruled Hate Crime , Not Suicide",http://www.newser.com/story/252289/30-years-after-he-fell-to-his-death-a-ruling.html,20171130T193000Z,murder,,"North Head, Manly",gay,The death of American Scott Johnson 30 years ago in Australia has been ruled a hate crime and not suicide. His body was found at the base of a cliff at North Head in Manly. The ruling brings closure to his family who have long believed he was the victim of a homophobic attack.,critical,Unknown,-33.8130902,151.2981105,2017.0,2025-12-03T06:44:26.358985
"Nearly 30 years later , gay man fall from an Australian cliff is ruled a hate crime",http://www.vancouversun.com/news/world/nearly+years+later+fall+from+australian+cliff+ruled+hate/16013047/story.html,20171130T190000Z,murder,,Bondi Beach,gay,"Nearly 30 years after a gay man fell from a cliff at Bondi Beach, the incident has been ruled a hate crime. The victim's sexual orientation was a factor in his death, indicating a targeted attack.",critical,Unknown,-33.8906977,151.2724119,2017.0,2025-12-03T06:44:32.408728
"Thirty Years Later , Australia Judge Rules Fatal Fall Off Sydney Cliff As a Hate Crime",https://article.wn.com/view/2017/11/30/Thirty_Years_Later_Australia_Judge_Rules_Fatal_Fall_Off_Sydn/,20171130T184500Z,murder,,Sydney Cliff,unknown,A judge in Australia ruled that a fatal fall off a Sydney cliff 30 years ago was a hate crime. The victim's identity was not specified in the article.,critical,unknown,,,2017.0,2025-12-03T06:44:44.915541
"Gay man found smashed to death at the bottom of a cliff was killed in homophobic hate crime , says coroner · PinkNews",http://www.pinknews.co.uk/2017/11/30/gay-man-found-smashed-to-death-at-the-bottom-of-a-cliff-was-killed-in-homophobic-hate-crime-says-coroner/,20171130T181500Z,murder,,cliff in undisclosed location,gay,"A gay man was found smashed to death at the bottom of a cliff, and the coroner determined it was a homophobic hate crime.",critical,Unknown,,,2017.0,2025-12-03T06:44:51.004135
American found naked and dead in Australia in 1988 was killed in gay hate crime : coroner,https://www.aol.com/article/news/2017/11/30/american-found-naked-and-dead-in-australia-in-1988-was-killed-in-gay-hate-crime-coroner/23292977/,20171130T180000Z,murder,1988-XX-XX,Sydney,gay,"An American man was found naked and dead in Sydney, Australia in 1988. The coroner determined that he was killed in a gay hate crime.",critical,Unknown,-33.8698439,151.2082848,2017.0,2025-12-03T06:44:55.164391
Mathematician killed because he was gay : Australia inquest,http://www.enca.com/world/mathematician-killed-because-he-was-gay-australia-inquest,20171130T064500Z,murder,,Australia inquest did not specify a specific location,gay,"A mathematician was killed because of his sexual orientation, highlighting the ongoing issue of violence against the LGBTIQ+ community in Australia.",critical,Unknown,,,2017.0,2025-12-03T06:45:59.034855
"Scott died as a result of a gay hate attack , coroner finds",http://www.portnews.com.au/story/5091529/scott-died-as-a-result-of-a-gay-hate-attack-coroner-finds/,20171130T060000Z,murder,,Sydney,gay,The coroner found that Scott died as a result of a gay hate attack in Sydney. The specific details of the attack were not provided in the article.,critical,Unknown,-33.8698439,151.2082848,2017.0,2025-12-03T06:46:10.208741
"After 30 Years , Scott Johnson Death Has Been Ruled A Gay Hate Crime",https://www.buzzfeed.com/lanesainty/scott-johnson-death-ruled-a-hate-crime,20171130T040000Z,murder,,Manly,gay,"Scott Johnson's death, which occurred 30 years ago in Manly, has been ruled as a gay hate crime. This ruling sheds light on the discrimination and violence faced by the LGBTIQ+ community.",critical,Unknown,-33.7971937,151.2879845,2017.0,2025-12-03T06:47:30.862300
"Scott Johnson died as a victim of a gay hate crime , third coronial inquest finds",https://www.brisbanetimes.com.au/national/nsw/scott-johnson-died-as-a-victim-of-a-gay-hate-crime-third-coronial-inquest-finds-20171130-gzvpmq.html,20171130T034500Z,murder,,Sydney,gay,Scott Johnson was found dead at the bottom of a cliff in Sydney in 1988. The third coronial inquest concluded that his death was the result of a gay hate crime.,critical,Unknown,-33.8698439,151.2082848,2017.0,2025-12-03T06:47:39.792872
Five charged with violent murder of Malaysian trans woman,http://www.starobserver.com.au/news/international-news-news/five-charged-with-violent-murder-of-malaysian-trans-woman/174713,20181227T070000Z,murder,,Melbourne,transgender,Five individuals have been charged with the violent murder of a Malaysian trans woman in Melbourne. The victim's identity was targeted in this tragic incident.,critical,Five individuals charged with the murder,-37.8142454,144.9631732,2018.0,2025-12-03T06:48:33.684146
Police offer $1 million reward in gay hate murder of Scott Johnson,http://www.starobserver.com.au/news/national-news/new-south-wales-news/police-offer-1-million-reward-in-gay-hate-murder-of-scott-johnson/174261,20181211T094500Z,murder,,Manly,gay,"Scott Johnson, a gay man, was murdered in a gay hate crime in Manly. Police are offering a $1 million reward for information leading to the conviction of those responsible.",critical,unknown,-33.7971937,151.2879845,2018.0,2025-12-03T06:48:53.238487
Australian police offer $1 million reward in Scott Johnson murder case · PinkNews,https://www.pinknews.co.uk/2018/12/09/scott-johnson-murder-reward/,20181209T164500Z,murder,,"North Head, Manly",gay,"Australian police are offering a $1 million reward in the murder case of Scott Johnson, a gay man whose body was found at the bottom of a cliff in North Head, Manly in 1988. The case is being investigated as a potential hate crime.",critical,unknown,-33.8130902,151.2981105,2018.0,2025-12-03T06:49:06.882115
Scott Johnson Gay Hate Murder : NSW Police Offer $1M Reward For Info,https://www.pedestrian.tv/news/scott-johnson-reward/,20181209T004500Z,murder,,"North Head, Manly",gay,"NSW Police are offering a $1 million reward for information regarding the murder of Scott Johnson, a gay man whose body was found at the base of North Head in Manly in 1988. The case is believed to be a hate crime.",critical,unknown,-33.8130902,151.2981105,2018.0,2025-12-03T06:49:12.147316
Kiss at a fried chicken shop landed me a black eye and put my friend in hospital,https://www.gaystarnews.com/article/kiss-at-a-fried-chicken-shop-landed-me-a-black-eye-and-put-my-friend-in-hospital/,20181005T064500Z,assault,,Fried chicken shop in Sydney,gay,"Two friends were physically attacked after sharing a kiss at a fried chicken shop, resulting in one person getting a black eye and the other being hospitalized.",medium,Perpetrators unknown,,,2018.0,2025-12-03T06:50:58.607470
