title,url,source_date,source,query
Community in mourning after sistergirl stabbed to death,https://www.manningrivertimes.com.au/story/8785653/community-in-mourning-after-sistergirl-stabbed-to-death/?cs=9397,20241008T064500Z,manningrivertimes.com.au,"""transgender"" AND ""stabbed"" AND Australia"
Community in mourning after sistergirl stabbed to death,https://www.theleader.com.au/story/8785653/community-in-mourning-after-sistergirl-stabbed-to-death/?cs=30776,20241008T063000Z,theleader.com.au,"""transgender"" AND ""stabbed"" AND Australia"
Community in mourning after sistergirl stabbed to death,https://www.naroomanewsonline.com.au/story/8785653/community-in-mourning-after-sistergirl-stabbed-to-death/?cs=14264,20241008T063000Z,naroomanewsonline.com.au,"""transgender"" AND ""stabbed"" AND Australia"
Community in mourning after sistergirl stabbed to death,https://www.queanbeyanage.com.au/story/8785653/community-in-mourning-after-sistergirl-stabbed-to-death/?cs=14264,20241008T063000Z,queanbeyanage.com.au,"""transgender"" AND ""stabbed"" AND Australia"
LGBTIQ rights : inquiry into gay hate crimes told of brutal attacks,https://www.theage.com.au/national/nsw/just-another-night-in-the-life-of-a-gay-man-inquiry-into-hate-crimes-told-of-brutal-attacks-20221121-p5bzw5.html,20221121T051500Z,theage.com.au,"(LGBTIQ OR gay OR lesbian OR transgender) AND (attack OR assault OR violence) AND ""Oxford Street"""
LGBTIQ rights : inquiry into gay hate crimes told of brutal attacks,https://www.smh.com.au/national/nsw/just-another-night-in-the-life-of-a-gay-man-inquiry-into-hate-crimes-told-of-brutal-attacks-20221121-p5bzw5.html,20221121T050000Z,smh.com.au,"(LGBTIQ OR gay OR lesbian OR transgender) AND (attack OR assault OR violence) AND ""Oxford Street"""
Bondi Badlands podcast : Former NSW Poliice officer recalls horror years of homophobic violence,https://www.brisbanetimes.com.au/national/gay-bashings-homophobia-former-cop-recalls-horror-years-in-nsw-police-force-20211029-p594d0.html,20211029T190000Z,brisbanetimes.com.au,"(LGBTIQ OR gay OR lesbian OR transgender) AND (attack OR assault OR violence) AND ""Darlinghurst"""
Bondi Badlands podcast : Former NSW Poliice officer recalls horror years of homophobic violence,https://www.smh.com.au/national/gay-bashings-homophobia-former-cop-recalls-horror-years-in-nsw-police-force-20211029-p594d0.html,20211029T184500Z,smh.com.au,"(LGBTIQ OR gay OR lesbian OR transgender) AND (attack OR assault OR violence) AND ""Darlinghurst"""
Euskirchen : Staatsschutz ermittelt nach Attacken auf queeren Verein,https://www.ksta.de:443/region/euskirchen-eifel/stadt-euskirchen/euskirchen-staatsschutz-ermittelt-nach-attacken-auf-queeren-verein-1161583,20251202T060000Z,ksta.de,"(LGBTIQ OR gay OR lesbian OR transgender) AND (attack OR assault OR violence) AND ""Chapel Street"""
Belfast man suffers head injury in  homophobic  attack,https://www.belfastlive.co.uk/news/belfast-news/belfast-man-suffers-head-injury-17390965,20191210T073000Z,belfastlive.co.uk,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Victoria"""
News | Breaking News Headlines Cairns Queensland,https://www.cairnspost.com.au/news?nk=fd051a68589616edbd832996e2a70620-1700632893,20231122T061500Z,cairnspost.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
"Live Review : The Triffid 2023 QLD Album Of The Year Event | theMusic . com . au | Australian music news , gig guide , music reviews",https://themusic.com.au/reviews/the-triffid-s-2023-qld-album-of-the-year-event/qlsQvL--oaA/03-11-23,20231103T004500Z,themusic.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Daily review 30 / 10 / 2023,https://thestandard.org.nz/daily-review-30-10-2023/,20231030T081500Z,thestandard.org.nz,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Raymond Keam killer will likely die in jail after being sentenced for 1987 murder - OUTInPerth | LGBTQIA+ News and Culture | OUTInPerth,https://www.outinperth.com/raymond-keams-killer-will-die-in-jail-after-being-sentenced-for-1987-murder/,20231021T030000Z,outinperth.com,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Two federal ministers plead Gaza Palestinian case,https://www.crikey.com.au/2023/10/20/labor-mps-plead-gaza-palestinians/,20231019T203000Z,crikey.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
America : Australia Older Cousin That We Dont Always Understand,https://www.theepochtimes.com/world/america-australias-older-cousin-that-we-dont-always-understand-5511427,20231018T030000Z,theepochtimes.com,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Gloucester Advocate,https://www.gloucesteradvocate.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=2835,20231017T074500Z,gloucesteradvocate.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The Rural,https://www.therural.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=1784,20231017T074500Z,therural.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Wellington Times,https://www.wellingtontimes.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T074500Z,wellingtontimes.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Gloucester Advocate,https://www.gloucesteradvocate.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T074500Z,gloucesteradvocate.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The Rural,https://www.therural.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T074500Z,therural.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The Irrigator,https://www.irrigator.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T073000Z,irrigator.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The Young Witness,https://www.youngwitness.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=2750,20231017T070000Z,youngwitness.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
NSW and Qld Police offer $1m reward for information on  heinou 2002 murders of Iain Hogg and Frederick Rosson,https://www.skynews.com.au/australia-news/crime/nsw-and-qld-police-offer-1m-reward-for-information-on-heinous-2002-murders-of-iain-hogg-and-frederick-rosson/news-story/8b35641b15fff2aa238e0852597ebac4,20231017T064500Z,skynews.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Cowra Guardian,https://www.cowraguardian.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=2753,20231017T064500Z,cowraguardian.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The Wimmera Mail - Times,https://www.mailtimes.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T061500Z,mailtimes.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Busselton - Dunsborough Mail,https://www.busseltonmail.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=2826,20231017T061500Z,busseltonmail.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Goulburn Post,https://www.goulburnpost.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T061500Z,goulburnpost.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The Wimmera Mail - Times,https://www.mailtimes.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=2669,20231017T061500Z,mailtimes.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Goulburn Post,https://www.goulburnpost.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=2650,20231017T061500Z,goulburnpost.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Oberon Review,https://www.oberonreview.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T060000Z,oberonreview.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Oberon Review,https://www.oberonreview.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=3076,20231017T060000Z,oberonreview.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Boorowa News,https://www.boorowanewsonline.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=3031,20231017T060000Z,boorowanewsonline.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Boorowa News,https://www.boorowanewsonline.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T060000Z,boorowanewsonline.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The Macleay Argus,https://www.macleayargus.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T054500Z,macleayargus.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Bega District News,https://www.begadistrictnews.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=511,20231017T054500Z,begadistrictnews.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Braidwood Times,https://www.braidwoodtimes.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=2971,20231017T054500Z,braidwoodtimes.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The Macleay Argus,https://www.macleayargus.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=2699,20231017T054500Z,macleayargus.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Braidwood Times,https://www.braidwoodtimes.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T054500Z,braidwoodtimes.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Bega District News,https://www.begadistrictnews.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T054500Z,begadistrictnews.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | South Coast Register,https://www.southcoastregister.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T053000Z,southcoastregister.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The Grenfell Record,https://www.grenfellrecord.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=2947,20231017T053000Z,grenfellrecord.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The North West Star,https://www.northweststar.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=2647,20231017T053000Z,northweststar.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The North West Star,https://www.northweststar.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T053000Z,northweststar.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The Grenfell Record,https://www.grenfellrecord.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T053000Z,grenfellrecord.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Nyngan Observer,https://www.nynganobserver.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T053000Z,nynganobserver.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Nyngan Observer,https://www.nynganobserver.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=3051,20231017T053000Z,nynganobserver.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Merimbula News Weekly,https://www.merimbulanewsweekly.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T051500Z,merimbulanewsweekly.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Camden Haven Courier,https://www.camdencourier.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T051500Z,camdencourier.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Camden Haven Courier,https://www.camdencourier.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=2999,20231017T051500Z,camdencourier.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Merimbula News Weekly,https://www.merimbulanewsweekly.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=1729,20231017T051500Z,merimbulanewsweekly.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Parkes Champion - Post,https://www.parkeschampionpost.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T050000Z,parkeschampionpost.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The Armidale Express,https://www.armidaleexpress.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T050000Z,armidaleexpress.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The Border Mail,https://www.bordermail.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T050000Z,bordermail.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The Advocate,https://www.theadvocate.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T050000Z,theadvocate.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The Armidale Express,https://www.armidaleexpress.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=2675,20231017T050000Z,armidaleexpress.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The Border Mail,https://www.bordermail.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9766,20231017T050000Z,bordermail.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Southern Highland News,https://www.southernhighlandnews.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T050000Z,southernhighlandnews.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Manning River Times,https://www.manningrivertimes.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=2681,20231017T050000Z,manningrivertimes.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Southern Highland News,https://www.southernhighlandnews.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=2658,20231017T050000Z,southernhighlandnews.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Glen Innes Examiner,https://www.gleninnesexaminer.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=2799,20231017T050000Z,gleninnesexaminer.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Glen Innes Examiner,https://www.gleninnesexaminer.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T050000Z,gleninnesexaminer.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Manning River Times,https://www.manningrivertimes.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T050000Z,manningrivertimes.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Port Macquarie News,https://www.portnews.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T044500Z,portnews.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The Standard,https://www.standard.net.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T043000Z,standard.net.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The Courier,https://www.thecourier.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T043000Z,thecourier.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Central Western Daily,https://www.centralwesterndaily.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T043000Z,centralwesterndaily.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The Standard,https://www.standard.net.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=2611,20231017T043000Z,standard.net.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Southern Cross,https://www.juneesoutherncross.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T043000Z,juneesoutherncross.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The Stawell Times - News,https://www.stawelltimes.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T043000Z,stawelltimes.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Central Western Daily,https://www.centralwesterndaily.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/,20231017T043000Z,centralwesterndaily.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The Courier,https://www.thecourier.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/,20231017T043000Z,thecourier.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Redland City Bulletin,https://www.redlandcitybulletin.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=2678,20231017T043000Z,redlandcitybulletin.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Southern Cross,https://www.juneesoutherncross.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=1757,20231017T043000Z,juneesoutherncross.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The Stawell Times - News,https://www.stawelltimes.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=2841,20231017T043000Z,stawelltimes.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Magnet,https://www.edenmagnet.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=2895,20231017T043000Z,edenmagnet.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Dungog Chronicle,https://www.dungogchronicle.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=9676,20231017T043000Z,dungogchronicle.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Dungog Chronicle,https://www.dungogchronicle.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=412,20231017T043000Z,dungogchronicle.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | The Standard,https://www.standard.net.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/,20231017T043000Z,standard.net.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
Reward at $1 million as police search for Mr Rosson and Mr Hogg | Redland City Bulletin,https://www.redlandcitybulletin.com.au/story/8389624/loyalties-change-1-million-cold-case-murders-reward-offered/?cs=30776,20231017T043000Z,redlandcitybulletin.com.au,"(LGBTIQ OR LGBT OR gay OR transgender) AND (hate crime OR attack OR assault) AND ""Queensland"""
