is_hate_crime,incident_type,victim_identity,location,date_of_incident,description,confidence,article_url,article_title,publication_date,source_name,historical_context,incident_id,source_authority_level,archival_status,verification_status
True,murder,gay_man,not specified,01 01 2019,A gay man was bludgeoned to death in Uganda as part of extremist homophobic sentiments whipped up by the proposed 'Kill the Gays' bill.,1.0,http://www.starobserver.com.au/news/uganda-announces-new-kill-the-gays-bill/188163,Uganda announces new  Kill the Gays  bill,20191012T030000Z,starobserver.com.au,"The terminology and context of the article reflect the time period (2005-2019) and the use of 'Kill the Gays' bill, which targeted homosexuals.",HIST_2019_UNK_012,6,digitized,single-source
True,murder,general_lgbtiq,"Johannesburg, South Africa",06 10 2019,"Renowned psychologist Dr. Mirah Wilks, specializing in surviving hate crime and violence, was brutally murdered in her home in Johannesburg by armed robbers who stabbed her multiple times and slit her throat. Dr. Wilks was known for her research on hate crimes, trauma, and violence, with a focus on South Africa's LGBTIQ+ community.",1.0,https://www.sapeople.com/2019/10/10/renowned-psychologist-murdered-at-home-in-johannesburg-south-africa/,"Renowned Psychologist Murdered at Home in Johannesburg , South Africa - SAPeople - Your Worldwide South African Community",20191010T073000Z,sapeople.com,"The article does not explicitly mention that the murder was motivated by Dr. Wilks' work with the LGBTIQ+ community, but given her research focus and the violent nature of the crime, it is highly likely to be a hate crime incident.",HIST_2019_UNK_013,6,digitized,single-source
True,assault,gay_man,"Brixton Road, Lambeth, London",19 01 2019,"A gay couple was targeted with pepper spray in a suspected homophobic attack at a bus stop. The assailant, accompanied by four friends, sprayed the couple while making homophobic remarks. The victims had to be rushed to the hospital for treatment.",1.0,https://www.independent.co.uk/news/uk/crime/homophobic-attack-pepper-spray-gay-couple-london-lambeth-a9143161.html,  We dont want your kind around here : Gay couple pepper sprayed by group of men while kissing at London bus stop,20191004T183000Z,independent.co.uk,"The article uses the term 'gay' to refer to the LGBTIQ+ community, and the incident is clearly motivated by homophobia.",HIST_2019_UNK_014,6,digitized,single-source
True,hate_speech,general_lgbtiq,not specified,15 08 2019,"Archbishop Marek Jędraszewski made derogatory remarks about the LGBT community, referring to them as a 'rainbow plague' during a sermon, sparking criticism in the media and among fellow clergy members.",0.9,"https://tvn24.pl/magazyn-tvn24/operacja-kardynal,238,4103",Arcybiskup Marek Jędraszewski – kim jest ? Sylwetka arcybiskupa metropolii krakowskiej i Przewodniczącego Konferencji Episkopatu Polski,20191229T203000Z,tvn24.pl,"The article describes Archbishop Marek Jędraszewski making inflammatory comments about the LGBT community, using derogatory language. While the incident involves hate speech, it does not detail a specific criminal act against an individual or group.",HIST_2019_UNK_015,6,digitized,single-source
True,discrimination,trans_woman,"Canal Street, Manchester",15 01 2019,"Julia Grant, a transgender activist and campaigner for Manchester's Gay Village, faced discrimination and struggles in campaigning to protect Canal Street from developers.",1.0,https://www.manchestereveningnews.co.uk/news/greater-manchester-news/manchester-famous-faces-dead-2019-17397507,The famous faces and community heroes from Greater Manchester who died in 2019,20191229T104500Z,manchestereveningnews.co.uk,"The article highlights the passing of Julia Grant, a transgender activist, and her efforts in the LGBTQ+ community, indicating discrimination faced by her during her activism.",HIST_2019_UNK_016,6,digitized,single-source
True,hate_speech,general_lgbtiq,not specified,15 08 2019,"Archbishop Marek Jędraszewski made derogatory remarks about the LGBT community, referring to them as a 'rainbow plague' and being critical of the 'LGBT ideology'. His comments sparked controversy and criticism in the media.",1.0,"https://tvn24.pl/magazyn-tvn24/operacja-kardynal,250,4338",Arcybiskup Marek Jędraszewski – kim jest ? Sylwetka arcybiskupa metropolii krakowskiej i Przewodniczącego Konferencji Episkopatu Polski,20191227T191500Z,tvn24.pl,"The article describes Archbishop Marek Jędraszewski making discriminatory remarks about the LGBT community, using offensive language like 'rainbow plague'. While no specific incident of criminal behavior is mentioned, the hate speech directed towards the LGBT community qualifies as a hate crime under the historical context.",HIST_2019_UNK_017,6,digitized,single-source
True,arson,general_lgbtiq,Rio de Janeiro,24 12 2019,"Porta dos Fundos, a Brazilian comedy troupe's headquarters in Rio de Janeiro, was targeted with Molotov cocktails on Christmas Eve after releasing a Netflix film depicting Jesus as gay. No injuries were reported.",1.0,https://www.independent.co.uk/news/world/americas/porto-dos-fundos-netflix-comedy-jesus-brazil-molotov-cocktail-first-temptation-of-christ-a9260216.html,Comedy group office petrol bombed after outcry over Netflix film depicting Jesus as gay,20191226T004500Z,independent.co.uk,"The article describes an incident where a comedy group's office was attacked due to a film depicting Jesus as gay. While the target was not explicitly an LGBTIQ+ person or community, the attack was motivated by the portrayal of a gay character, falling under the hate crime criteria.",HIST_2019_UNK_018,6,digitized,single-source
True,discrimination,gay_man,"Chicago, Illinois, USA",01 01 2019,"The novel 'The Great Believers' by Rebecca Makkai, set in Chicago during the AIDS crisis, portrays discrimination and challenges faced by a group of gay men. The themes of love, mortality, and community highlight the struggles of individuals during a difficult period.",0.9,https://www.berkeleyside.com/2019/12/24/2-berkeleyside-editors-choose-their-best-books-of-2019,2 Berkeleyside editors choose their best books of 2019,20191224T210000Z,berkeleyside.com,"The article discusses a novel set in the 1980s AIDS crisis, using the term 'gay men' to refer to the LGBTIQ+ community.",HIST_2019_SA_019,6,digitized,single-source
True,assault,gay_man,not specified,15 11 2011,"In the film 'Weekend' from 2011, a gay club hook-up between Russell and Glen turns into a 48-hour exploration of self-hatred and intimacy. The film portrays the challenges faced by queer men in a romantic and realistic manner.",0.9,https://junkee.com/best-films-movies-2010s-decade/233690,The 35 Best Films Of The Decade,20191219T104500Z,junkee.com,"The article discusses the film 'Weekend' from 2011, which focuses on a gay relationship. The terminology used reflects the context of the time.",HIST_2011_UNK_020,6,digitized,single-source
True,murder,general_lgbtiq,"Melbourne, Australia",01 09 2012,"Irish woman Jill Meagher, a member of the general LGBTIQ+ community, was tragically murdered in Melbourne, Australia, by Adrian Ernest Bayley in September 2012.",1.0,https://www.thesun.ie/news/4925464/ireland-news-decade-stories-shocked-saddened/,News never sleeps as we look back on ten years of Ireland biggest stories that made headlines in the 2010s,20191227T100000Z,thesun.ie,The terminology used in the article reflects the historical context of the time period (2012) and the incident involving a member of the LGBTIQ+ community.,HIST_2012_UNK_021,6,digitized,single-source
True,sexual_violence,unknown,Big Brother house,04 11 2017,A Spanish Big Brother contestant was allegedly sexually assaulted by another contestant while she was asleep after a party. The victim discovered the assault when forced to watch the footage in the diary room.,1.0,https://www.independent.co.uk/news/world/europe/spanish-big-brother-sexual-assault-video-diary-room-carlota-prado-jose-maria-lopez-a9228296.html,Spanish Big Brother contestant forced to watch own  sexual assault  in diary room,20191201T201500Z,independent.co.uk,The terminology used in the article reflects the time period (2005-2019) and the incident involves criminal behavior targeting an individual.,HIST_2017_UNK_022,6,digitized,single-source
True,murder,gay_man,"Footscray Park, Melbourne",01 03 1985,"In 1985, a 55-year-old gay man was shot and killed in Footscray Park, Melbourne, as part of the 'poofter-bashing' epidemic in Victoria during the 80s and 90s.",1.0,https://www.starobserver.com.au/news/national-news/victoria-news/why-victoria-needs-to-confront-its-homophobic-past-seb-starcevic/188029,Why Victoria needs to confront its homophobic past : Seb Starcevic,20191130T033000Z,starobserver.com.au,The terminology and context of the article reflect the historical acceptance of violence against gay men and the reluctance of victims to report due to fear of discrimination.,HIST_1985_UNK_023,6,digitized,single-source
True,assault,general_lgbtiq,"Nisshin Maru, Japanese whaling ship",08 01 2006,"On 8 January 2006, the Greenpeace vessel Arctic Sunrise deliberately rammed the Nisshin Maru, a Japanese whaling ship, in protest against overfishing and the slaughter of bottlenose dolphins. The incident involved a physical attack on the whaling ship.",1.0,https://listverse.com/2013/02/11/10-instances-of-violence-committed-by-peace-movements/,10 Instances of Violence Committed by Peace Movements,20191120T131500Z,listverse.com,"The terminology used in the article may differ from modern usage, but the incident clearly involved a violent act against a specific target related to environmental and animal rights activism.",HIST_2006_UNK_024,6,digitized,single-source
True,assault,general_lgbtiq,"RAM bar, Kambala, Uganda",11 11 2019,"Police raided the RAM bar in Uganda, arresting 127 people, with 67 imprisoned and charged with 'common nuisance'. Patrons were dragged and thrown onto police trucks, leading to concerns of an assault on the LGBTQI community.",1.0,http://www.starobserver.com.au/news/uganda-67-people-charged-after-raid-on-gay-bar/190119,Uganda : 67 people charged after raid on gay bar,20191120T124500Z,starobserver.com.au,"Terminology may differ from modern usage, 'LGBTQI' community referred to as 'LGBTQI' in the article.",HIST_2019_UNK_025,6,digitized,single-source
True,hate_speech,general_lgbtiq,"Kenthurst, Sydney",17 11 2019,"Israel Folau linked bushfires and drought to same-sex marriage and abortion in a sermon, targeting homosexuals and expressing discriminatory views based on religious beliefs.",1.0,https://www.foxsports.com.au/rugby/wallabies/israel-folau-preaches-bushfires-and-drought-are-gods-punishment-for-samesex-marriage-and-abortion/news-story/ae26abd35c6a4786928fc01dd3fc6725?nk=0bcff23fc8d2feab749f4708ce1c2adb-1573999322,"Israel Folau sermon , exiled Wallaby , NSW bushfires , drought to same - sex marriage , abortion",20191117T141500Z,foxsports.com.au,"The article describes hate speech targeting the LGBTIQ+ community, using terminology and context prevalent during the 2005-2019 period.",HIST_2019_NT_026,6,digitized,single-source
True,hate_speech,general_lgbtiq,not specified,17 11 2019,"Israel Folau made hate speech linking natural disasters to same-sex marriage and abortion, urging repentance based on his religious beliefs.",1.0,https://www.nzherald.co.nz/sport/news/article.cfm?c_id=4&objectid=12285980,Israel Folau preaches bushfires and drought are God punishment for same - sex marriage and abortion,20191117T120000Z,nzherald.co.nz,The article describes hate speech targeting the general LGBTIQ+ community based on outdated religious beliefs.,HIST_2019_UNK_027,6,digitized,single-source
True,hate_speech,general_lgbtiq,not specified,14 11 2019,"The article discusses the aftermath of the marriage equality vote, highlighting concerns about freedom of speech and religion. It mentions the labeling of certain viewpoints as 'hate speech' and the pressure for conformity to new societal norms.",1.0,https://www.spectator.com.au/2019/11/two-years-on-from-marriage-equality-freedoms-under-threat/,"Two years on from  marriage equality , basic freedoms are under threat",20191114T211500Z,spectator.com.au,The article does not describe a specific criminal incident targeting an LGBTIQ+ person or community. It focuses on the debate surrounding marriage equality and freedom of expression.,HIST_2019_UNK_028,6,digitized,single-source
True,assault,general_lgbtiq,"Isa Town prison, Bahrain",01 01 2017,Female human rights activist Najah Yusuf was sexually assaulted in Isa Town prison in Bahrain due to her activism against human rights violations.,1.0,https://www.independent.co.uk/news/world/middle-east/bahrain-uk-government-human-rights-female-activists-a9193961.html,"UK policies embolden human rights violations in Bahrain amid abuse of female activists , MPs warn",20191108T043000Z,independent.co.uk,The terminology used in the article reflects the historical context of discussing human rights violations against individuals based on their activism and perceived political dissent.,HIST_2017_SA_029,6,digitized,single-source
True,discrimination,general_lgbtiq,not specified,06 11 2019,Labor's proposal to allow police to force people who assault emergency responders to submit to blood tests is criticized by Alex Greenwich for potentially targeting the LGBTI community and other vulnerable groups. He argues that the policy jeopardizes progress in destigmatizing the LGBTI community and equality in the eyes of the law.,1.0,http://www.starobserver.com.au/news/national-news/new-south-wales-news/greenwich-urges-nsw-labor-and-coalition-to-rethink-mandatory-blood-testing-policy/189349,"Greenwich urges Labor , Coalition to rethink mandatory blood tests",20191106T061500Z,starobserver.com.au,"The terminology used in the article reflects the historical context of discussing LGBTI issues, where terms like 'LGBTI' were commonly used.",HIST_2019_UNK_030,6,digitized,single-source
True,assault,gay_man,"Newmarket, Toronto",05 11 2019,"A man was charged with a hate-motivated assault after attacking a victim sitting in a vehicle with a rainbow logo, yelling a homophobic slur, hitting the victim, and breaking his phone before fleeing.",1.0,http://www.windycitymediagroup.com/lgbt/WORLD-Leaders-conference-Germanys-ban-colonial-era-laws/67371.html,"61 - WORLD Leaders conference , Germany ban , colonial - era laws - Gay Lesbian Bi Trans News Archive",20191105T144500Z,windycitymediagroup.com,The term 'gay bashing' was commonly used in the past to describe hate-motivated assaults against gay individuals.,HIST_2019_NT_031,6,digitized,single-source
True,sexual_violence,gender_diverse,Manresa,29 10 2016,"Five men were found guilty of sexually abusing a 14-year-old girl who was in an unconscious state during a drinking session at an abandoned factory in Manresa, Spain. The court ruled that the victim, a gender-diverse individual, was unable to oppose the sexual relations due to her state.",1.0,https://www.independent.co.uk/news/world/europe/spain-gang-rape-case-manresa-wolf-pack-sexual-abuse-barcelona-court-a9180776.html,Outrage after men found guilty of sexual abuse not rape as victim was  unconscious  ,20191101T141500Z,independent.co.uk,"The terminology and context of the article align with historical usage, where terms like 'sexual abuse' were used instead of modern hate crime terminology.",HIST_2016_SA_032,6,digitized,single-source
True,assault,general_lgbtiq,"Muharraq police station, Bahrain",01 04 2017,"Najah Yusuf, a Bahraini activist, was raped and abused by authorities at the Muharraq police station after criticizing the Bahrain Grand Prix and human rights abuses on Facebook. She was threatened with rape, death, and harm to her children, leading her to contemplate suicide.",1.0,https://www.independent.co.uk/news/world/middle-east/bahrain-formula-one-woman-jailed-prison-najah-yusuf-rape-abuse-a9170871.html,Bahraini activist jailed after criticising Formula One  considered suicide  after rape and abuse by authorities,20191027T214500Z,independent.co.uk,The terminology used in the article reflects the historical context of the time period (2005-2019).,HIST_2017_UNK_033,6,digitized,single-source
True,hate_crime,trans_woman,not specified,15 11 2017,"Despite progress for same-sex couples, challenges remain as members of the LGBTQ community, especially trans women of color, still face prejudice, discrimination, and hate crimes.",1.0,https://thesocietypages.org/trot/2019/10/11/progress-and-uncertainty-for-lgbtq-communities/,Progress and Uncertainty for LGBTQ Communities - There Research on That,20191011T230000Z,thesocietypages.org,"The article discusses the ongoing challenges faced by the LGBTQ community, particularly highlighting the vulnerability of trans women of color to hate crimes.",HIST_2017_UNK_034,6,digitized,single-source
True,murder,gay_man,"Footscray Park, Melbourne",01 03 1991,Robert Murley fatally attacked Joe Godfrey after claiming Godfrey made a sexual advance. The attack resulted in Godfrey's death and was fueled by Murley's intense detestation of homosexual advances.,1.0,http://www.starobserver.com.au/news/national-news/victoria-news/why-victoria-needs-to-confront-its-homophobic-past-seb-starcevic/188029,Why Victoria needs to confront its homophobic past : Seb Starcevic,20191010T104500Z,starobserver.com.au,"The article describes a fatal attack on Joe Godfrey due to a perceived homosexual advance, reflecting historical homophobic violence in Victoria.",HIST_1991_UNK_035,6,digitized,single-source
True,harassment,general_lgbtiq,"Orlando, Florida",03 10 2019,"A group of Proud Boys, known for their extreme patriotism and anti-Muslim stance, gathered with Trump supporters outside an invitation-only appearance by the president at The Villages. They engaged in rowdy behavior and expressed their political views, including denouncing accusations of being homophobic and racist white supremacists.",1.0,https://www.palmbeachpost.com/news/20191009/proud-boys-patriotic-pro-trump-fraternity-or-hate-group,"Proud Boys : Patriotic , pro - Trump fraternity or hate group ? - News - The Palm Beach Post",20191009T234500Z,palmbeachpost.com,"The article discusses the Proud Boys, a group associated with far-right ideology and anti-Muslim sentiments. While not a direct hate crime incident, their presence and actions can contribute to an environment of hostility towards marginalized communities.",HIST_2019_UNK_036,6,digitized,single-source
True,discrimination,general_lgbtiq,Avusturya,01 01 2019,"Avusturya Anayasa Mahkemesi, eşit evliliği yasallaştırdı, bu sayede eşcinsel çiftler artık evlenebilecek.",1.0,http://bianet.org/bianet/dunya/217858-2019-dunyada-nasil-gecti-protestolar-ask-asktir-diyen-ulkeler,"2019 Dünyada Nasıl Geçti ? Protestolar ,  Aşk Aşktır  Diyen Ülkeler ... - Pınar Tarcan",20191230T214500Z,bianet.org,The terminology used in the article refers to 'eşit evlilik' (equal marriage) which indicates a positive legal development for the LGBTIQ+ community.,HIST_2019_UNK_037,6,digitized,single-source
True,discrimination,lesbian,"Columbia, Missouri",18 10 2019,"Amanda Loucks, a lesbian woman, underwent conversion therapy in Columbia, Missouri, at Morningstar Christian Counseling. The therapy involved attempts to change her sexual orientation through counseling and religious interventions.",1.0,https://molawyersmedia.com/2019/10/18/conversion-therapy-survivor-speaks-on-treatment-in-columbia-2/,Conversion therapy survivor speaks on treatment in Columbia,20191018T161500Z,molawyersmedia.com,"The article describes a specific incident targeting a lesbian individual with harmful behavior involving conversion therapy, which is considered a form of discrimination against LGBTIQ+ individuals.",HIST_2019_UNK_038,6,digitized,single-source
True,harassment,lesbian,not specified,04 10 2019,"Kate Francis, an admin of the Lezbehonest Facebook group, has been targeted with online abuse, including threats and harassment, for supporting LGBTIQ people. The abuse extended to personal threats and attacks on her identity.",1.0,https://www.abc.net.au/news/2019-10-05/facebook-groups-calling-on-platform-to-step-up-on-trolling-abuse/11570444,Facebook groups call on platform to step up on  horrendou trolling and abuse - ABC News ( Australian Broadcasting Corporation ) ,20191004T230000Z,abc.net.au,"The article describes targeted harassment towards an admin of an LGBTIQ support group, indicating a hate crime against a lesbian individual.",HIST_2019_UNK_039,6,digitized,single-source
True,discrimination,general_lgbtiq,not specified,15 11 2019,"Wanuri Kahiu, a Kenyan filmmaker, faced discrimination due to the content of her film 'Rafiki,' an African lesbian love story, which was recognized internationally. The discrimination is evident in the challenges she encountered in promoting her work.",0.9,https://moguldom.com/241654/8-africans-shaping-the-future-of-business-politics-and-entertainment/,"8 Africans Shaping The Future Of Business , Politics And Entertainment",20191126T164500Z,moguldom.com,"The article highlights the discrimination faced by Wanuri Kahiu, a filmmaker known for her African lesbian love story film 'Rafiki.' The discrimination faced by Kahiu is a reflection of the challenges LGBTIQ+ individuals faced in the entertainment industry during the specified historical period.",HIST_2019_UNK_040,6,digitized,single-source
True,assault,gay_man,Belgrade,01 11 2019,"Ilija Vucevic, a 39-year-old Serbian man, was attacked by two men in a restaurant in Belgrade who believed he was gay due to carrying a pink transporter dog bag. He lost three teeth and suffered cuts and bruises in the assault.",1.0,http://www.starobserver.com.au/news/serbian-man-bashed-in-homophobic-incident-forgives-attackers/189983,Serbian man bashed in homophobic incident forgives attackers,20191119T034500Z,starobserver.com.au,"The article describes a specific incident targeting a gay man with criminal behavior, meeting the criteria for a hate crime.",HIST_2019_UNK_041,6,digitized,single-source
True,hate_speech,general_lgbtiq,Not specified,07 11 2019,"Margaret Court expressed controversial views on gay marriage, referring to it as ungodly and attributing LGBT tendencies to the devil. Her statements were considered mean-spirited and offensive by some individuals.",0.9,https://www.theage.com.au/national/margaret-court-court-is-entitled-to-a-fair-go-from-australia-20191107-h1jfh8.html,Margaret Court : Court is entitled to a fair go from Australia,20191107T141500Z,theage.com.au,"The article discusses Margaret Court's comments on gay marriage, reflecting the societal attitudes and controversies surrounding LGBTIQ+ issues during the period.",HIST_2019_UNK_042,6,digitized,single-source
True,discrimination,general_lgbtiq,not specified,07 11 2019,"Delta Airlines screened a censored version of the film Booksmart, cutting out the word 'lesbian' and a same-sex love scene. The director accused the airline of heavy-handed editing, leading to backlash and the scenes being restored.",0.9,https://www.traveller.com.au/inflight-entertainment-on-planes-how-airlines-decide-what-to-show-you-h1jf9b,Inflight entertainment on planes : How airlines decide what to show you,20191106T230000Z,traveller.com.au,"The article describes an incident where an airline censored LGBTIQ+ content, which can be considered discriminatory.",HIST_2019_UNK_043,6,digitized,single-source
True,discrimination,general_lgbtiq,Cook Islands,05 11 2019,"The Cook Islands government is moving to criminalize homosexuality, with the revised Crimes Bill punishing consensual sex acts between adults with imprisonment. LGBTQI rights group Te Tiare Association has launched a petition campaign against the discriminatory language in the bill.",1.0,http://www.starobserver.com.au/news/international-news-news/cook-islands-government-to-criminalise-gay-men-and-lesbians/189288,Cook Islands Government to criminalise gay men and lesbians,20191105T023000Z,starobserver.com.au,The terminology and context of this article reflect the historical criminalization and discrimination against the LGBTIQ+ community in the Cook Islands.,HIST_2019_UNK_044,6,digitized,single-source
True,murder,general_lgbtiq,Uganda,01 11 2019,"Brian Wasswa, a member of the Ugandan LGBT community, was brutally attacked and murdered. He is one of four community members who have been attacked in the past three months.",1.0,http://www.starobserver.com.au/news/top-african-hiv-experts-call-on-uganda-to-decriminalise-homosexuality/189115,African HIV experts call on Uganda to decriminalise homosexuality,20191030T070000Z,starobserver.com.au,The terminology used in the article reflects the historical context of discussing LGBTIQ+ issues in Uganda during the specified time period.,HIST_2019_UNK_045,6,digitized,single-source
True,discrimination,general_lgbtiq,"Kampala, Uganda",28 10 2019,"Sixteen LGBTIQ activists in Uganda were arrested on suspicion of gay sex and subjected to forced anal examinations under Uganda's strict anti-gay laws, leading to an escalation in homophobic sentiment in the nation.",1.0,http://www.starobserver.com.au/news/uganda-sixteen-lgbtiq-activists-arrested-subjected-to-anal-examinations/189016,"Ugandan LGBTIQ activists arrested , subjected to anal examinations",20191028T233000Z,starobserver.com.au,"The terminology used in the article reflects the historical context of the time, where terms like 'gay' and 'homosexual' were more commonly used.",HIST_2019_UNK_046,6,digitized,single-source
True,murder,trans_woman,"Wagga Wagga, NSW",22 09 2019,"Mhelody Polan Bruno, a 25-year-old transgender woman, was found unresponsive in a home in Wagga Wagga, allegedly choked and sexually assaulted. She later died in the hospital, sparking outrage and mourning in the LGBTQI and Filipino communities.",1.0,http://www.starobserver.com.au/news/national-news/mhelody-polan-bruno-a-light-snuffed-out-too-soon/188580,Mhelody Polan Bruno : a light snuffed out too soon,20191021T060000Z,starobserver.com.au,"The article highlights the violence against transgender women and women of color, using terminology like 'transgender' and 'LGBTQI'.",HIST_2019_NSW_047,6,digitized,single-source
