incident_id,date_of_incident,incident_type,victim_identity,location,description,article_url,news_source,review_status,submitted_at
INC-20260125162443,,murder,gay,"River Torrens, Adelaide","The article discusses the honoring of George Duncan, a gay lecturer who was murdered in 1972 by being thrown into the River Torrens in Adelaide. The University of Adelaide is now honoring his memory.",,,pending,2026-01-25T16:24:47.226604
INC-20260125162447,,assault,gay,Sydney,"An ex-NSW cop revealed witnessing gay bashings by his police colleagues in Sydney in the 1980s, indicating a history of violence against the LGBTQ+ community within law enforcement.",,,pending,2026-01-25T16:24:50.674615
INC-20260125162450,,assault,gay,Ukraine,"Neo-Nazis attacked a gay bar in Ukraine, targeting individuals based on their sexual orientation.",,,pending,2026-01-25T16:24:54.202930
INC-20260125162454,,assault,gay,Darlinghurst,A straight man stabbed a gay man after the gay man refused to reciprocate oral sex.,,,pending,2026-01-25T16:24:57.603684
INC-20260125162457,,assault,transgender,Melbourne CBD,A Malaysian transgender cosmetics entrepreneur reported being beaten and stamped on by officers in Melbourne CBD.,,,pending,2026-01-25T16:25:01.526629
INC-20260125162501,,assault,gay,Sydney,"A gay academic in Sydney revealed that he was a victim of hate attacks, advising others not to go to the police if they are bashed.",,,pending,2026-01-25T16:25:05.014492
INC-20260125162505,,murder,gay,Sydney,Kritchikorn was finally able to be himself before becoming a victim of the Sydney gay hate murders.,,,pending,2026-01-25T16:25:08.587659
INC-20260125162508,,murder,gay,Melbourne,A gay Palestinian man was found brutally murdered in Melbourne.,,,pending,2026-01-25T16:25:12.101294
INC-20260125162512,,assault,gay,Melbourne,"A Serbian man was physically attacked in his home in Melbourne in a homophobic incident. Despite the assault, the victim has chosen to forgive his attackers.",,,pending,2026-01-25T16:25:15.549496
INC-20260125162515,,assault,gay,Adelaide,An Adelaide man was knocked out and robbed by another man after making a gay advance. The perpetrator has been jailed for the assault.,,,pending,2026-01-25T16:25:19.557274
INC-20260125162519,,assault,transgender,Sydney CBD,A transgender individual was physically assaulted and handcuffed by unknown perpetrators in Sydney CBD for wearing a woman outfit.,,,pending,2026-01-25T16:25:23.000071
INC-20260125162523,,assault,transgender,Sydney,A NSW Police officer was jailed for assaulting Sydney trans woman Anya Bradford.,,,pending,2026-01-25T16:25:26.484918
INC-20260125162526,,assault,transgender,Malaysia,A trans woman in Malaysia fled the country after being assaulted by police for wearing a hijab.,,,pending,2026-01-25T16:25:30.465651
INC-20260125162530,,assault,transgender,Sydney CBD,"A trans businesswoman was attacked by religious police, forcing her to flee her home in Sydney CBD.",,,pending,2026-01-25T16:25:34.275917
INC-20260125162534,,murder,transgender,Riverina region,"Over 100 people attended a vigil for Mhelody Bruno, a transgender tourist who was murdered in the Riverina region. The community gathered to mourn her tragic death.",,,pending,2026-01-25T16:25:37.715021
INC-20260125162537,,assault,unknown,city centre,A university lecturer and their friend were reportedly beaten up by men who used homophobic slurs in the city centre. The victims claim they were targeted because of their sexual orientation.,,,pending,2026-01-25T16:25:41.123759
INC-20260125162541,,assault,gay,Sydney,The inquiry into gay hate crimes heard testimonies of brutal physical attacks targeting members of the LGBTIQ community in Sydney.,,,pending,2026-01-25T16:25:44.937966
INC-20260125162544,,assault,gay,Bondi Beach,"A former NSW Police officer recalls the horror years of homophobic violence in Bondi Beach, including physical assaults targeting gay individuals.",,,pending,2026-01-25T16:25:48.413776
INC-20260125162548,,assault,transgender,Victorian suburb (specific location not provided),"A Victorian MP's transgender daughter was attacked following a debate over a pandemic bill, resulting in her hospitalization. The motive behind the attack is believed to be related to her gender identity.",,,pending,2026-01-25T16:25:51.840496
INC-20260125162551,,assault,gay,"Kings Cross, Sydney","The article describes an incident where Samuel Beckett, a gay man, was nearly stabbed to death by a pimp in Kings Cross, Sydney.",,,pending,2026-01-25T16:25:55.187308
INC-20260125162555,,assault,gay,Bury,A gay couple was attacked by a masked gang in a terrifying street robbery in Bury.,,,pending,2026-01-25T16:25:58.984293
INC-20260125162558,,assault,gay,Sydney CBD,"Anthony Crumbley, a gay Black man, was stabbed in Sydney CBD because he dresses femme. The attack was motivated by his sexual orientation and gender expression.",,,pending,2026-01-25T16:26:02.439302
INC-20260125162602,,assault,gay,Melbourne,Gay writer and disability activist Thomas Banks was assaulted and robbed in Melbourne.,,,pending,2026-01-25T16:26:05.880148
INC-20260125162605,,murder,gay,Melbourne CBD,Tributes are pouring in for a gay man who died in a vicious attack in Melbourne CBD. The man was a victim of a fatal assault.,,,pending,2026-01-25T16:26:09.316110
INC-20260125162609,,assault,transgender,"Gold Coast, Queensland",Queensland police are investigating an assault on a transgender person. The details of the incident have not been disclosed.,,,pending,2026-01-25T16:26:12.996743
INC-20260125162612,,vandalism,unknown,Perth,Perth Mayor Basil Zempilas had his home vandalised after making controversial comments about transgender individuals.,,,pending,2026-01-25T16:26:16.580932
INC-20260125162616,,vandalism,unknown,Melbourne,A comedy group office in Melbourne was petrol bombed following an outcry over a Netflix film depicting Jesus as gay. The incident is believed to be in response to the controversial film.,,,pending,2026-01-25T16:26:19.913495
INC-20260125162619,,threat,LGBTIQ+,Melbourne,"A drag event in Melbourne was postponed due to threats from Neo-Nazis, causing safety concerns for the LGBTIQ+ community.",,,pending,2026-01-25T16:26:23.519490
INC-20260125162623,,assault,gay,Melbourne,"The 26-year-old Dimitrious Gargasoulas, who killed five people on Friday, had previously critically injured his brother: 'I will kill all gays.'",,,pending,2026-01-25T16:26:26.942565
INC-20260125162626,,vandalism,general_lgbtiq,elderly care facility housing Holocaust survivors,"Australian neo-Nazis defaced an elderly care facility housing Holocaust survivors, targeting the vulnerable residents with hateful graffiti.",,,pending,2026-01-25T16:26:30.421911
INC-20260125162630,,assault,female paramedic,"Rainbow Serpent festival, Lexton","A female paramedic was saved from being attacked by a festivalgoer at the Rainbow Serpent festival in Lexton, Melbourne. The festivalgoer was subdued by a hero before causing harm to the paramedic.",,,pending,2026-01-25T16:26:34.875212
INC-20260125162634,,assault,unknown,Melbourne CBD,A paramedic was horrifically bashed after treating a man suspected of coming back from Rainbow Serpent festival in Melbourne CBD.,,,pending,2026-01-25T16:26:38.422150
INC-20260125162638,,assault,general_lgbtiq,Αθήνα,Two individuals are facing criminal charges for the assault of Tzilos in Athens.,,,pending,2026-01-25T16:26:41.945498
INC-20260125162641,,vandalism,general_lgbtiq,Lismore,A recently unveiled rainbow crossing in Lismore was vandalised with biblical graffiti during an LGBTI festival.,,,pending,2026-01-25T16:26:45.304772
INC-20260125162645,,vandalism,general_lgbtiq,rainbow walkway,"A Bible message was scrawled across a new rainbow walkway, potentially targeting the LGBTIQ+ community.",,,pending,2026-01-25T16:26:48.726765
INC-20260125162648,,vandalism,general_lgbtiq,Rainbow crossing,A rainbow crossing was vandalized with Bible scripture,,,pending,2026-01-25T16:26:52.138682
INC-20260125162652,,hate_speech,general_lgbtiq,Sydney,"Ismail Al-Wahwah, a Hizbut Tahrir member imprisoned for hate speech, made derogatory remarks about Jews being the most evil creatures of Allah.",,,pending,2026-01-25T16:26:55.768650
INC-20260125162655,,assault,unknown,Chicago,Two brothers were arrested in connection with the alleged attack on 'Empire' star Jussie Smollett in Chicago. The 36-year-old actor required hospital treatment after a suspected racist and homophobic attack.,,,pending,2026-01-25T16:26:59.725114
INC-20260125162659,,assault,unknown,"St Patrick's Cathedral, Melbourne",Le cardinal australien George Pell a été condamné pour agression sexuelle,,,pending,2026-01-25T16:27:03.209271
INC-20260125162703,,assault,unknown,"St Kilda, Melbourne",Kayla Potts and Jack Houldcroft have been charged in connection with a cop bashing incident in St Kilda.,,,pending,2026-01-25T16:27:06.612977
INC-20260125162706,,vandalism,unknown,Muslim mother's home in Bankstown,A Muslim mother was horrified after racist vandals graffitied a swastika and the word 'dog' on her white BMW parked outside her home in Bankstown.,,,pending,2026-01-25T16:27:10.088183
INC-20260125162710,,murder,gay,Adelaide,SA Police are appealing for information regarding the unsolved 'gay bashing' murder cases of Adelaide men David Saint and Robert Mark Woodland.,,,pending,2026-01-25T16:27:13.651004
INC-20260125162713,,vandalism,general_lgbtiq,Metropolitan Community Church Brisbane,The pastor of the LGBTI-inclusive Metropolitan Community Church Brisbane has spoken out about a spate of homophobic and racist graffiti on the property.,,,pending,2026-01-25T16:27:17.078468
INC-20260125162717,,assault,"journalist, photographer","Cairns Central Shopping Centre, Cairns",A supporter of Fraser Anning was arrested after attacking a journalist and photographer at Cairns Central Shopping Centre. The incident involved physical violence towards the media professionals covering a political event.,,,pending,2026-01-25T16:27:20.672606
INC-20260125162720,,threat,unknown,Sydney Synagogue,Police searched a Sydney Synagogue following a threat made against the establishment.,,,pending,2026-01-25T16:27:24.197031
INC-20260125162724,,assault,unknown,Ballina Shire,A Fraser Anning supporter was arrested after attacking a journalist and photographer in Ballina Shire.,,,pending,2026-01-25T16:27:28.218175
INC-20260125162728,,assault,"journalist, photographer","Fraser Anning event in Moorooka, Brisbane","A supporter of Fraser Anning was arrested after attacking a journalist and photographer at an event in Moorooka, Brisbane. The incident occurred during a confrontation with the media.",,,pending,2026-01-25T16:27:31.688426
INC-20260125162731,,hate_speech,general_lgbtiq,Geelong,Liberal Gurpal Singh's paedophilia comments were slammed in relation to the Federal election 2019.,,,pending,2026-01-25T16:27:35.033075
INC-20260125162735,,assault,unknown,London,A man in his 20s was slashed with a machete in a homophobic attack in London after the suspect made offensive comments. The victim was stabbed in the leg.,,,pending,2026-01-25T16:27:38.515641
INC-20260125162738,,vandalism,unknown,student housing,"A 'suspicious' noose was found hanging near student housing, which is recognized as a symbol of violence and racism directed against African American peoples.",,,pending,2026-01-25T16:27:41.948967
INC-20260125162741,,assault,unknown,London,"A woman was punched unconscious after telling a man who followed her from a nightclub that she was not interested. The victim, an 18-year-old, highlighted the pressure women feel to not say no in such situations.",,,pending,2026-01-25T16:27:45.264060
INC-20260125162745,,murder,gay,Surrey,Gerald Matovu was found guilty of killing James Bond actor Eric Michels by plying him with a fatal dose of GHB at his home in Surrey.,,,pending,2026-01-25T16:27:48.748848
INC-20260125162748,,assault,unknown,London pub,Left-wing commentator Owen Jones was attacked in a blatant premeditated assault outside a London pub.,,,pending,2026-01-25T16:27:52.799966
INC-20260125162752,,vandalism,unknown,Gundagai,"The much-loved Dog on the Tuckerbox statue in Gundagai was vandalised last month, causing damage to the 87-year-old bronze statue.",,,pending,2026-01-25T16:27:56.252279
INC-20260125162756,,assault,gay,Westfield,A gay man and his brother were attacked by thugs in an anti-gay attack at Westfield.,,,pending,2026-01-25T16:27:59.638718
INC-20260125162759,,assault,gay,Sydney,Australian gay man hunted down and beaten by bloodthirsty teenagers,,,pending,2026-01-25T16:28:03.048238
INC-20260125162803,,vandalism,unknown,"Holland Park mosque, Brisbane",The Holland Park mosque in Brisbane was vandalised with spray-painted right-wing symbols and a reference to the Christchurch shooter overnight. The mosque's president was not surprised by the incident.,,,pending,2026-01-25T16:28:06.787156
INC-20260125162806,,assault,unknown,retail park,A racially aggravated attack where eggs were thrown at a baby and mother outside a retail park. Police have stated they will not tolerate such unprovoked assaults.,,,pending,2026-01-25T16:28:10.875328
INC-20260125162810,,assault,transgender,"Riverina, NSW",A man has been charged after the death of 25-year-old Filipina trans woman Mhelody Polan Bruno in New South Wales.,,,pending,2026-01-25T16:28:14.780779
INC-20260125162814,,vandalism,general_lgbtiq,Melbourne's south-east,The iconic Nylex building in Melbourne's south-east was defaced with swastikas.,,,pending,2026-01-25T16:28:18.954897
INC-20260125162818,,vandalism,unknown,Plymouth,Homophobic graffiti was daubed on Labour MP Luke Pollard's constituency office in Plymouth. This incident occurred days after 'die Blair' was scrawled on the politician's workplace.,,,pending,2026-01-25T16:28:22.940386
INC-20260125162822,,assault,unknown,"Melbourne, Victoria","23-year-old Robert Murley was accused of bashing, stabbing and almost decapitating 65-year-old Joe Godfrey in March 1991",,,pending,2026-01-25T16:28:26.347638
INC-20260125162826,,vandalism,general_lgbtiq,Adelaide CBD,A man was caught on video vandalising Adelaide's iconic CBD Pride Walk with the words 'Jesus loves you'. The local council described it as disappointing.,,,pending,2026-01-25T16:28:29.678015
INC-20260125162829,,vandalism,general_lgbtiq,"Adelaide, Australia","The rainbow walk in Adelaide, Australia was vandalised with 'Jesus loves you' graffiti.",,,pending,2026-01-25T16:28:33.114034
INC-20260125162833,,vandalism,general_lgbtiq,Adelaide's Light Square,"The Rainbow Walk in Adelaide's Light Square was vandalised with white text saying 'Jesus Loves You', impacting the colorful path celebrating the LGBTIQ+ community.",,,pending,2026-01-25T16:28:36.988013
INC-20260125162836,,assault,unknown,Iowa,An Iowa woman was charged with a hate crime after running over a girl she thought was 'a Mexican' and was also charged in a second hit-and-run incident on the same day.,,,pending,2026-01-25T16:28:40.416542
INC-20260125162840,,threat,unknown,Berlin,Neonazis threatened Berlin State Secretary Chebli with murder,,,pending,2026-01-25T16:28:43.808868
INC-20260125162843,,hate_speech,general_lgbtiq,Mandurah store Krazy Tees,"A t-shirt with the phrase 'Wife basher' displayed in a Mandurah store has sparked controversy, with the store owner claiming it's a joke but domestic violence advocates condemning it as a 'hate crime message' following the death of a mother and three children.",,,pending,2026-01-25T16:28:47.968701
INC-20260125162847,,harassment,gay,Sydney CBD,Jordan was verbally abused and harassed by strangers on a busy street in Sydney CBD simply for holding his boyfriend's hand.,,,pending,2026-01-25T16:28:51.443245
INC-20260125162851,,assault,gay,Wyoming,"In 1998, Matthew Shepard, a first-year college student in Wyoming, was kidnapped, beaten, and left to die in a brutal anti-gay hate crime that inspired anguish and outrage.",,,pending,2026-01-25T16:28:55.884751
INC-20260125162855,,hate_speech,gay,Melbourne,Ex-AFL Women star Moana Hope revealed the disgusting homophobic slurs directed at her and Dustin Martin that led her to turn her back on the game for good.,,,pending,2026-01-25T16:28:59.249588
INC-20260125162859,,murder,gay,cliff,A $2 million reward is being offered to help solve the murder of a gay man who was found naked at the bottom of a cliff.,,,pending,2026-01-25T16:29:02.684378
INC-20260125162902,,threat,general_lgbtiq,"Moore Park, Sydney","Raelene Castle, CEO of Rugby Australia, received a death threat from a supporter of Israel Folau, as reported. Police were contacted, and security was increased around Castle.",,,pending,2026-01-25T16:29:06.119826
INC-20260125162906,,assault,unknown,Sydney,"After 30 years, an arrest has been made in an alleged hate crime killing that was initially ruled a suicide in Sydney.",,,pending,2026-01-25T16:29:09.998670
INC-20260125162910,,fatal fall,gay,Sydney cliff,An American man's fatal fall off a cliff in Sydney has been ruled as a gay hate crime.,,,pending,2026-01-25T16:29:13.469667
INC-20260125162913,,assault,gay,Sydney,A man was pushed from a cliff in an anti-gay hate crime decades ago. Police have now arrested a suspect in connection with the incident.,,,pending,2026-01-25T16:29:16.871799
INC-20260125162916,,killing,gay,Sydney,A man has been charged in Australia for the killing of a gay man in 1988 in Sydney. The victim's identity has not been disclosed in the article.,,,pending,2026-01-25T16:29:20.263103
INC-20260125162920,,murder,gay,Darlinghurst,Australian authorities have made an arrest in the apparent hate crime murder of a gay man in 1988 in Darlinghurst. The victim's identity has not been disclosed at this time.,,,pending,2026-01-25T16:29:23.631891
INC-20260125162923,,killing,gay,Australian Cliff,Arrest made in the 1988 hate crime killing of a gay American at an Australian cliff.,,,pending,2026-01-25T16:29:27.022427
INC-20260125162927,,murder,gay,cliff (specific location not mentioned),A man has been charged with murder over the death of a gay man who fell from a cliff more than 30 years ago. The incident is being investigated as a hate crime.,,,pending,2026-01-25T16:29:30.386162
INC-20260125162930,,murder,gay,Sydney,An Australian man was arrested for the murder of a gay American student in Sydney 32 years ago.,,,pending,2026-01-25T16:29:34.303899
INC-20260125162934,,death,unknown,Sydney,A suspect has been arrested in connection with the 30-year-old apparent homophobic cold case death of an American man in Sydney. The case is currently under investigation by authorities.,,,pending,2026-01-25T16:29:37.751403
INC-20260125162937,,killing,gay,Sydney,Aussie man arrested after 32 years for killing a gay student in Sydney.,,,pending,2026-01-25T16:29:41.110217
INC-20260125162941,,murder,gay,Sydney,"Australian man charged for killing a gay student in Sydney 32 years ago. The suspect, Scott Price, was arrested at his Sydney home and will face court.",,,pending,2026-01-25T16:29:44.513670
INC-20260125162944,,hate speech,gay,Sydney,MasterChef contestant Reynold embroiled in a scandal involving homophobic comments.,,,pending,2026-01-25T16:29:47.854762
INC-20260125162947,,threat,general_lgbtiq,Melbourne,"A city neo-Nazi group is seen as ticking time bombs, posing a threat to the LGBTIQ+ community in the area.",,,pending,2026-01-25T16:29:51.673524
INC-20260125162951,,murder,gay,"Adelaide, South Australia",Man found guilty twice of 'gay panic' murder wins right to appeal fresh conviction.,,,pending,2026-01-25T16:29:55.184449
INC-20260125162955,,murder,gay,Leicester,A Leicester graduate was murdered by his abusive husband using a Tesco carrier bag so he could run away with his gay lover.,,,pending,2026-01-25T16:29:58.676931
